driver_id,age,second_language,rating
1,35,no,3.93
2,37,Arabic,3.98
3,22,Arabic,4.19
4,65,no,4.2
5,58,no,4.2
6,62,no,5.0
7,37,no,4.51
8,47,Mandarin,3.97
9,42,no,4.4
10,43,no,4.64
11,48,no,4.19
12,42,no,4.29
13,57,no,4.65
14,23,no,3.98
15,30,no,4.16
16,62,no,4.76
17,62,no,4.33
18,59,Russian,4.11
19,38,no,4.32
20,42,no,4.14
21,22,no,3.8
22,34,Mandarin,4.58
23,55,Portuguese,4.89
24,37,French,4.45
25,43,Spanish,4.79
26,26,French,3.96
27,44,no,4.42
28,54,Arabic,4.39
29,47,French,4.42
30,47,no,4.33
31,63,no,4.33
32,32,no,3.97
33,35,no,4.68
34,50,French,4.83
35,43,no,4.67
36,67,Mandarin,4.03
37,23,Russian,4.37
38,26,no,4.9
39,37,no,4.1
40,42,Spanish,4.58
41,62,French,4.47
42,44,no,4.45
43,41,no,4.36
44,28,Spanish,4.21
45,41,Portuguese,5.0
46,45,no,3.68
47,48,no,4.54
48,49,Russian,4.9
49,41,no,4.6
50,28,no,3.69
51,28,Spanish,3.88
52,28,no,3.95
53,50,no,4.61
54,61,Spanish,4.53
55,62,Spanish,3.9
56,35,no,4.19
57,24,no,4.31
58,50,Spanish,4.43
59,22,Spanish,5.0
60,50,French,4.27
61,39,French,4.15
62,60,Spanish,4.03
63,50,Arabic,4.68
64,55,French,4.63
65,40,no,3.82
66,60,Portuguese,4.28
67,45,Arabic,4.32
68,50,no,4.7
69,37,no,5.0
70,42,Spanish,4.47
71,60,no,4.33
72,39,Mandarin,4.09
73,22,no,3.83
74,38,no,4.56
75,39,no,4.58
76,40,Arabic,4.54
77,24,no,4.81
78,27,Mandarin,4.47
79,36,no,4.47
80,40,no,4.22
81,22,no,4.07
82,39,no,3.75
83,36,Spanish,4.48
84,22,Mandarin,4.73
85,32,no,4.01
86,33,no,4.52
87,27,Mandarin,4.19
88,56,Mandarin,5.0
89,24,no,4.57
90,48,French,4.07
91,52,no,4.36
92,58,no,4.88
93,46,Spanish,3.75
94,46,Mandarin,4.25
95,56,French,4.4
96,61,no,5.0
97,30,no,4.08
98,58,Spanish,4.73
99,42,no,4.46
100,25,no,4.1
101,49,Spanish,4.49
102,66,no,4.2
103,27,no,4.31
104,21,no,3.68
105,64,Arabic,4.53
106,49,no,4.91
107,31,no,4.59
108,58,no,4.91
109,39,no,4.83
110,36,no,4.5
111,34,Spanish,4.68
112,49,no,4.32
113,27,no,3.77
114,38,no,4.26
115,35,no,4.35
116,23,no,4.88
117,56,Spanish,4.69
118,21,Spanish,3.96
119,66,Mandarin,4.03
120,25,no,4.07
121,37,Arabic,4.48
122,25,Mandarin,4.3
123,38,no,4.49
124,49,no,4.08
125,25,Mandarin,4.56
126,45,no,3.64
127,57,no,4.99
128,42,Spanish,3.96
129,26,no,4.5
130,53,Russian,4.27
131,29,no,4.51
132,21,no,4.45
133,41,no,4.44
134,33,no,4.53
135,22,Arabic,4.72
136,57,French,5.0
137,49,Portuguese,4.68
138,63,no,5.0
139,43,no,4.06
140,41,no,4.82
141,60,no,4.69
142,24,Arabic,4.2
143,37,no,4.36
144,58,no,4.48
145,34,no,4.56
146,62,French,4.45
147,34,no,4.49
148,40,Mandarin,4.66
149,63,Mandarin,3.39
150,32,French,5.0
151,66,no,4.18
152,23,no,4.03
153,33,no,4.1
154,48,Arabic,4.01
155,48,Russian,4.11
156,63,Spanish,4.21
157,66,no,4.16
158,52,no,4.65
159,52,Spanish,5.0
160,35,no,4.91
161,58,Spanish,4.93
162,51,French,4.56
163,22,no,4.4
164,60,no,4.69
165,37,no,4.05
166,43,no,4.04
167,43,Mandarin,4.62
168,59,no,4.85
169,33,no,4.49
170,39,no,3.75
171,22,no,4.23
172,37,Spanish,3.84
173,25,Spanish,4.27
174,48,no,4.33
175,62,no,4.12
176,42,no,4.71
177,63,no,4.6
178,66,no,4.7
179,23,Portuguese,3.9
180,45,no,4.21
181,45,no,4.89
182,39,no,4.7
183,60,French,4.67
184,39,no,4.85
185,23,Portuguese,4.81
186,46,no,4.37
187,30,French,5.0
188,37,Spanish,4.9
189,44,no,4.88
190,54,no,4.49
191,34,no,5.0
192,38,French,4.11
193,24,Arabic,5.0
194,39,no,4.6
195,48,no,4.87
196,49,no,4.07
197,34,no,4.62
198,23,Spanish,4.71
199,48,no,3.89
200,51,no,4.25
201,25,Arabic,3.81
202,44,Mandarin,4.4
203,25,French,4.17
204,42,no,4.31
205,51,Portuguese,5.0
206,54,Spanish,5.0
207,54,no,3.72
208,56,no,4.7
209,32,Arabic,4.94
210,60,no,4.12
211,37,French,4.49
212,38,Spanish,4.56
213,58,French,3.9
214,36,Mandarin,4.09
215,24,Portuguese,4.63
216,54,no,4.29
217,52,no,4.44
218,48,Mandarin,4.01
219,27,no,4.66
220,50,Spanish,4.74
221,30,Mandarin,4.41
222,47,no,4.84
223,44,French,4.23
224,57,no,4.74
225,66,Arabic,4.31
226,29,no,4.72
227,26,Spanish,3.94
228,47,Arabic,5.0
229,65,no,3.58
230,28,no,4.78
231,43,no,4.61
232,40,Spanish,4.76
233,35,no,4.81
234,52,no,4.8
235,34,Arabic,4.38
236,44,no,4.78
237,60,no,4.92
238,38,Spanish,4.38
239,21,no,5.0
240,62,no,4.57
241,33,Russian,4.09
242,57,Spanish,3.85
243,56,no,4.27
244,45,French,4.15
245,25,no,4.21
246,65,no,4.28
247,53,Spanish,4.03
248,40,no,4.46
249,61,no,4.38
250,58,Arabic,4.37
251,56,no,4.71
252,28,no,4.6
253,50,no,4.52
254,34,Mandarin,4.14
255,24,Mandarin,4.27
256,36,Arabic,4.2
257,25,no,3.74
258,25,French,4.44
259,55,Spanish,4.75
260,44,no,4.7
261,39,no,4.37
262,30,French,4.65
263,57,no,3.87
264,50,Spanish,4.3
265,48,no,4.2
266,29,no,5.0
267,26,Russian,4.37
268,26,French,4.41
269,22,no,5.0
270,66,Spanish,4.4
271,38,no,5.0
272,51,Mandarin,4.26
273,67,no,4.23
274,65,no,4.43
275,36,no,4.49
276,44,no,4.02
277,42,no,5.0
278,22,no,4.25
279,57,Russian,4.83
280,47,no,4.21
281,38,no,4.4
282,47,no,4.77
283,55,Spanish,4.12
284,21,no,3.83
285,51,no,4.09
286,61,Mandarin,5.0
287,55,no,4.29
288,50,Russian,4.52
289,25,no,4.65
290,56,Spanish,4.8
291,56,no,3.67
292,44,Mandarin,4.62
293,48,French,4.49
294,50,no,4.46
295,26,no,4.25
296,33,no,4.19
297,58,no,4.48
298,66,Russian,4.05
299,33,Spanish,4.25
300,39,Spanish,4.22
301,64,Portuguese,4.37
302,28,French,4.13
303,33,French,4.32
304,23,no,3.7
305,32,no,4.33
306,50,no,4.68
307,37,no,4.36
308,67,no,4.32
309,62,no,4.58
310,63,no,4.1
311,55,no,5.0
312,53,no,5.0
313,44,no,4.38
314,67,no,5.0
315,25,no,3.85
316,54,Mandarin,3.98
317,27,Mandarin,4.36
318,36,no,4.58
319,33,no,5.0
320,49,no,4.42
321,57,no,4.12
322,24,no,4.15
323,49,Russian,5.0
324,31,no,4.81
325,24,no,4.31
326,40,Mandarin,3.8
327,48,no,4.03
328,30,no,4.76
329,39,no,4.49
330,65,Portuguese,4.31
331,37,no,4.95
332,67,Spanish,5.0
333,60,French,4.38
334,38,no,4.44
335,48,Mandarin,4.35
336,54,no,4.49
337,42,no,4.0
338,40,no,3.78
339,36,Russian,3.75
340,27,no,4.88
341,22,no,3.76
342,36,Portuguese,5.0
343,58,no,4.04
344,31,Arabic,4.97
345,29,Spanish,4.24
346,36,Spanish,3.74
347,49,Mandarin,4.86
348,31,Mandarin,5.0
349,31,no,4.04
350,26,Russian,4.51
351,36,Portuguese,4.39
