ride_id,driver_id,passenger_id,date,status
55444,2543,18029,2022-08-17,Success
29328,1398,19350,2023-01-20,Success
1541,1735,19552,2022-10-21,Success
45010,2226,31242,2022-10-02,Success
50333,470,11325,2022-10-14,Success
44810,907,38435,2022-03-16,Cancelled by the passenger
14697,434,10959,2022-10-02,Rejected by the driver
38789,665,10270,2022-09-19,Rejected by the driver
55201,1545,21305,2022-04-22,Success
13112,1200,8793,2023-02-06,Success
55155,2487,30655,2022-05-30,Success
1921,1664,33254,2023-04-15,Success
57442,2400,36302,2022-04-01,Success
5954,131,6453,2022-11-20,Cancelled by the passenger
58164,1936,30828,2022-07-08,Success
34933,2113,4991,2023-01-16,Cancelled by the passenger
34528,345,22326,2023-02-17,Success
1410,1341,6090,2022-03-25,Success
55107,1579,13692,2023-01-26,Cancelled by the passenger
32239,1159,27705,2022-04-20,Success
9944,745,18675,2022-05-09,Success
7593,2320,12731,2023-03-26,Success
37626,2298,34250,2023-01-24,Success
45737,811,24211,2022-07-30,Success
44894,1692,39791,2022-07-17,Cancelled by the passenger
51112,533,38339,2022-11-25,Success
20112,2202,26821,2022-10-24,Success
27964,2576,13369,2022-08-29,Success
58317,449,19493,2023-02-26,Success
38581,743,15712,2022-05-03,Success
58071,1331,29947,2022-05-21,Rejected by the driver
54301,1400,248,2022-04-04,Success
29066,1609,25908,2022-07-01,Cancelled by the passenger
37649,1264,24888,2022-09-05,Success
41856,2855,18266,2022-08-21,Success
45382,2972,21075,2022-04-14,Rejected by the driver
38959,1930,19844,2022-09-30,Success
35464,337,20717,2022-09-13,Success
49778,1720,1756,2022-05-19,Success
54829,188,5014,2022-07-03,Success
33112,2245,14653,2022-12-12,Success
21551,139,32118,2023-01-01,Rejected by the driver
20267,776,12557,2022-08-11,Success
13726,812,34383,2023-01-07,Success
41194,1611,14607,2022-11-27,Success
1472,688,38496,2022-07-15,Success
7841,1311,1836,2022-07-10,Success
21139,392,39547,2023-01-27,Success
39922,2034,26039,2022-09-27,Success
49346,1195,35252,2022-11-26,Cancelled by the passenger
15595,2307,16882,2022-10-08,Success
35551,2724,8885,2022-04-09,Rejected by the driver
3739,1044,31397,2022-10-16,Success
57470,1810,5227,2022-10-08,Success
37382,210,7921,2022-11-06,Success
38606,1597,37070,2022-05-11,Rejected by the driver
