car_id,model,manufacture_year,last_inspection_date
1,Toyota Camry,2019,2021-10-05
2,Chevrolet Malibu,2017,2021-03-30
3,Hyundai Sonata,2021,2021-09-16
4,Nissan Altima,2022,2021-10-27
5,Nissan Altima,2017,2022-02-18
6,Kia Optima,2011,2022-09-06
7,Toyota Camry,2015,2022-08-05
8,Hyundai Sonata,2012,2021-06-13
9,Honda Accord,2016,2023-02-11
10,Toyota Camry,2019,2023-01-29
11,Nissan Altima,2011,2022-04-23
12,Kia Optima,2014,2021-05-18
13,Chevrolet Malibu,2005,2021-09-01
14,Chevrolet Malibu,2018,2021-10-31
15,Chevrolet Malibu,2013,2021-12-20
16,Chevrolet Malibu,2013,2023-01-05
17,Nissan Altima,2014,2022-06-20
18,Toyota Camry,2008,2023-02-02
19,Chevrolet Malibu,2015,2021-06-02
20,Nissan Altima,2018,2021-06-08
21,Nissan Altima,2011,2022-08-25
22,Ford Fusion,2007,2022-07-25
23,Honda Accord,2011,2022-07-03
24,Kia Optima,2008,2021-02-04
25,Chevrolet Malibu,2011,2022-01-30
26,Hyundai Sonata,2016,2021-05-29
27,Ford Fusion,2007,2022-03-07
28,Chevrolet Malibu,2018,2021-07-26
29,Nissan Altima,2009,2021-12-26
30,Nissan Altima,2021,2022-08-07
31,Nissan Altima,2018,2021-02-16
32,Honda Accord,2009,2021-07-16
33,Toyota Camry,2015,2021-05-23
34,Nissan Altima,2006,2020-12-13
35,Kia Optima,2006,2022-09-03
36,Toyota Camry,2022,2023-01-22
37,Kia Optima,2019,2021-11-07
38,Chevrolet Malibu,2007,2022-06-25
39,Honda Accord,2010,2022-03-19
40,Hyundai Sonata,2008,2022-09-16
41,Honda Accord,2012,2022-04-21
42,Chevrolet Malibu,2010,2022-04-26
43,Hyundai Sonata,2010,2022-06-03
44,Ford Fusion,2014,2021-06-16
45,Toyota Camry,2008,2021-10-29
46,Kia Optima,2020,2022-02-12
47,Nissan Altima,2018,2023-01-03
48,Kia Optima,2018,2021-11-17
49,Hyundai Sonata,2008,2022-11-08
50,Chevrolet Malibu,2017,2022-07-06
51,Chevrolet Malibu,2020,2022-04-06
52,Honda Accord,2008,2022-12-08
53,Ford Fusion,2018,2022-04-29
54,Nissan Altima,2011,2022-08-18
55,Nissan Altima,2019,2021-03-12
56,Toyota Camry,2013,2021-03-03
57,Nissan Altima,2019,2023-04-10
58,Honda Accord,2007,2021-10-20
59,Chevrolet Malibu,2012,2021-09-16
60,Hyundai Sonata,2009,2022-05-10
61,Kia Optima,2009,2022-02-17
62,Chevrolet Malibu,2010,2021-05-04
63,Ford Fusion,2011,2022-05-10
64,Kia Optima,2007,2023-02-16
65,Ford Fusion,2017,2022-05-15
66,Ford Fusion,2014,2022-08-29
67,Kia Optima,2019,2022-05-05
68,Ford Fusion,2017,2022-09-20
69,Toyota Camry,2007,2022-12-01
70,Nissan Altima,2006,2020-11-10
71,Chevrolet Malibu,2012,2022-12-20
72,Honda Accord,2013,2021-07-19
73,Nissan Altima,2009,2021-07-08
74,Toyota Camry,2019,2021-10-06
75,Hyundai Sonata,2015,2021-01-15
76,Nissan Altima,2018,2023-04-10
77,Ford Fusion,2006,2022-07-17
78,Honda Accord,2019,2022-10-31
79,Nissan Altima,2008,2021-11-12
80,Hyundai Sonata,2013,2021-09-20
81,Kia Optima,2012,2021-01-27
82,Nissan Altima,2019,2022-05-08
83,Honda Accord,2009,2022-09-14
84,Chevrolet Malibu,2009,2021-01-04
85,Hyundai Sonata,2011,2021-08-17
86,Hyundai Sonata,2011,2021-05-27
87,Toyota Camry,2008,2022-03-10
88,Ford Fusion,2008,2022-03-08
89,Chevrolet Malibu,2009,2022-04-30
90,Chevrolet Malibu,2013,2021-06-10
91,Nissan Altima,2011,2022-10-07
92,Chevrolet Malibu,2012,2020-11-19
93,Chevrolet Malibu,2017,2022-11-07
94,Ford Fusion,2009,2022-02-24
95,Kia Optima,2021,2022-07-06
96,Ford Fusion,2018,2021-09-14
97,Honda Accord,2008,2021-08-11
98,Hyundai Sonata,2010,2021-01-09
99,Hyundai Sonata,2008,2021-05-05
100,Toyota Camry,2009,2022-09-03
101,Chevrolet Malibu,2011,2022-10-11
102,Honda Accord,2007,2021-02-06
103,Chevrolet Malibu,2005,2022-01-31
104,Toyota Camry,2012,2023-01-17
105,Chevrolet Malibu,2017,2021-04-03
106,Chevrolet Malibu,2010,2021-09-09
107,Chevrolet Malibu,2020,2023-03-23
108,Hyundai Sonata,2011,2021-05-11
109,Nissan Altima,2021,2021-10-15
110,Hyundai Sonata,2009,2021-10-09
111,Honda Accord,2014,2021-02-26
112,Chevrolet Malibu,2018,2022-01-24
113,Nissan Altima,2006,2022-02-24
114,Nissan Altima,2021,2021-10-07
115,Nissan Altima,2011,2022-10-19
116,Nissan Altima,2013,2022-11-29
117,Toyota Camry,2016,2021-03-17
118,Toyota Camry,2016,2022-10-03
119,Honda Accord,2005,2022-01-16
120,Toyota Camry,2020,2022-08-15
121,Nissan Altima,2016,2022-09-19
122,Hyundai Sonata,2022,2021-10-24
123,Hyundai Sonata,2013,2021-04-23
124,Nissan Altima,2016,2022-03-13
125,Chevrolet Malibu,2012,2022-12-11
126,Nissan Altima,2021,2022-09-07
127,Toyota Camry,2019,2022-11-18
128,Chevrolet Malibu,2021,2021-02-10
129,Hyundai Sonata,2014,2022-07-01
130,Hyundai Sonata,2019,2022-05-13
131,Nissan Altima,2011,2023-02-10
132,Nissan Altima,2013,2022-03-10
133,Toyota Camry,2018,2021-01-13
134,Nissan Altima,2006,2022-04-11
135,Chevrolet Malibu,2017,2021-09-06
136,Ford Fusion,2005,2022-11-02
137,Hyundai Sonata,2015,2022-12-07
138,Toyota Camry,2013,2021-06-26
139,Ford Fusion,2013,2023-02-14
140,Nissan Altima,2013,2022-03-07
141,Kia Optima,2013,2022-07-04
142,Honda Accord,2012,2023-03-31
143,Honda Accord,2013,2021-12-23
144,Ford Fusion,2015,2020-11-29
145,Kia Optima,2018,2023-02-11
146,Chevrolet Malibu,2014,2021-04-11
147,Toyota Camry,2016,2021-12-16
148,Honda Accord,2020,2021-07-03
