driver_id,car_id,age,started_driving_year,second_language,rating,net_worth_of_tips,driver_class
1,1296,35,2021,no,3.93,384.11,B class
2,2509,37,2006,Arabic,3.98,537.09,B class
3,2165,22,2021,Arabic,4.19,635.68,B class
4,2410,65,2014,no,4.2,335.35,B class
5,148,58,2007,no,4.2,609.44,A class
6,2725,62,2013,no,5.0,792.18,A class
7,428,37,2011,no,4.51,614.27,A class
8,1053,47,2008,Mandarin,3.97,480.64,B class
9,1620,42,2013,no,4.4,1048.02,A class
10,2287,43,2003,no,4.64,725.67,A class
11,147,48,2019,no,4.19,707.38,B class
12,2814,42,2007,no,4.29,878.76,A class
13,2661,57,1999,no,4.65,828.4,A class
14,2989,23,2020,no,3.98,464.55,B class
15,1985,30,2022,no,4.16,537.0,B class
16,1176,62,2021,no,4.76,938.17,A class
17,301,62,2008,no,4.33,649.1,B class
18,2853,59,2000,Russian,4.11,613.64,B class
19,184,38,2005,no,4.32,756.52,A class
20,1455,42,2001,no,4.14,490.33,B class
21,331,22,2021,no,3.8,43.03,B class
22,1098,34,2011,Mandarin,4.58,744.14,B class
23,588,55,2005,Portuguese,4.89,916.34,A class
24,2180,37,2008,French,4.45,797.83,A class
25,785,43,2004,Spanish,4.79,888.38,A class
26,994,26,2018,French,3.96,60.52,B class
27,2412,44,2012,no,4.42,696.05,A class
28,306,54,2012,Arabic,4.39,980.72,A class
29,2915,47,2000,French,4.42,628.98,B class
30,349,47,2018,no,4.33,526.19,B class
31,152,63,2015,no,4.33,786.33,A class
32,829,32,2023,no,3.97,274.19,B class
33,1662,35,2020,no,4.68,462.34,A class
34,2209,50,1999,French,4.83,1117.14,A class
35,2230,43,2002,no,4.67,578.46,A class
36,2211,67,2017,Mandarin,4.03,520.27,B class
37,1182,23,2020,Russian,4.37,516.21,B class
38,2731,26,2017,no,4.9,912.48,A class
39,1708,37,2006,no,4.1,464.43,B class
40,880,42,2016,Spanish,4.58,495.78,A class
41,751,62,1999,French,4.47,688.08,B class
42,1221,44,2014,no,4.45,677.89,A class
43,1116,41,2006,no,4.36,758.05,B class
44,1559,28,2015,Spanish,4.21,608.48,B class
45,904,41,2007,Portuguese,5.0,1164.42,A class
46,698,45,2015,no,3.68,257.54,B class
47,1793,48,2002,no,4.54,750.57,A class
48,1150,49,2008,Russian,4.9,1109.81,A class
49,448,41,2016,no,4.6,753.74,A class
50,1196,28,2015,no,3.69,520.52,B class
51,1537,28,2015,Spanish,3.88,385.45,B class
52,2405,28,2015,no,3.95,340.46,B class
53,2737,50,2020,no,4.61,555.23,B class
54,910,61,1999,Spanish,4.53,956.91,A class
55,1591,62,2005,Spanish,3.9,451.96,B class
56,2672,35,2008,no,4.19,480.51,B class
57,1561,24,2019,no,4.31,575.1,B class
58,641,50,2008,Spanish,4.43,582.46,A class
59,1357,22,2021,Spanish,5.0,814.61,A class
60,31,50,2018,French,4.27,358.35,B class
61,459,39,2022,French,4.15,453.72,B class
62,2958,60,2022,Spanish,4.03,360.37,B class
63,956,50,2005,Arabic,4.68,704.37,A class
64,1089,55,2002,French,4.63,884.43,A class
65,1778,40,2019,no,3.82,448.85,B class
66,1181,60,2009,Portuguese,4.28,692.27,B class
67,573,45,2020,Arabic,4.32,529.02,B class
68,2092,50,2013,no,4.7,575.27,A class
69,1432,37,2006,no,5.0,1339.11,A class
70,2945,42,2003,Spanish,4.47,995.08,A class
71,2707,60,2000,no,4.33,868.18,A class
72,1245,39,2016,Mandarin,4.09,619.46,B class
73,1331,22,2021,no,3.83,379.23,B class
74,777,38,2005,no,4.56,671.72,A class
75,1902,39,2015,no,4.58,800.47,A class
76,5,40,2015,Arabic,4.54,468.47,B class
77,1139,24,2021,no,4.81,1033.99,A class
78,1823,27,2016,Mandarin,4.47,819.49,A class
79,2381,36,2018,no,4.47,689.38,A class
80,2047,40,2017,no,4.22,699.25,A class
81,2225,22,2021,no,4.07,604.05,B class
82,412,39,2020,no,3.75,517.82,B class
83,42,36,2007,Spanish,4.48,505.51,A class
84,1826,22,2021,Mandarin,4.73,566.3,A class
85,151,32,2020,no,4.01,512.59,B class
86,1470,33,2019,no,4.52,419.37,A class
87,2057,27,2023,Mandarin,4.19,413.83,B class
88,1425,56,2000,Mandarin,5.0,1027.48,A class
89,964,24,2019,no,4.57,843.58,A class
90,960,48,2007,French,4.07,399.43,B class
91,2453,52,2020,no,4.36,589.86,B class
92,1588,58,2018,no,4.88,916.1,A class
93,927,46,2010,Spanish,3.75,300.73,B class
94,868,46,2018,Mandarin,4.25,540.23,B class
95,2460,56,2008,French,4.4,749.63,A class
96,2505,61,2000,no,5.0,1148.48,A class
97,1099,30,2016,no,4.08,515.2,B class
98,2007,58,2008,Spanish,4.73,824.24,A class
99,1618,42,2001,no,4.46,896.04,A class
100,2125,25,2018,no,4.1,460.05,B class
101,1165,49,2023,Spanish,4.49,695.7,B class
102,1233,66,2021,no,4.2,440.16,B class
103,2960,27,2016,no,4.31,454.94,B class
104,1878,21,2022,no,3.68,261.7,B class
105,2218,64,2015,Arabic,4.53,572.81,A class
106,874,49,2010,no,4.91,979.67,A class
107,109,31,2012,no,4.59,756.3,A class
108,1090,58,2007,no,4.91,853.7,A class
109,1658,39,2005,no,4.83,872.13,A class
110,1567,36,2014,no,4.5,553.94,B class
111,1436,34,2009,Spanish,4.68,394.74,B class
112,632,49,2022,no,4.32,427.95,B class
113,2317,27,2023,no,3.77,270.45,B class
114,1914,38,2005,no,4.26,722.61,B class
115,44,35,2019,no,4.35,676.46,B class
116,1736,23,2020,no,4.88,1106.11,A class
117,2249,56,2016,Spanish,4.69,677.69,A class
118,2610,21,2022,Spanish,3.96,404.13,B class
119,2763,66,2023,Mandarin,4.03,513.66,B class
120,2387,25,2018,no,4.07,355.83,B class
121,136,37,2015,Arabic,4.48,810.15,A class
122,486,25,2019,Mandarin,4.3,482.29,B class
123,618,38,2011,no,4.49,774.99,A class
124,730,49,2020,no,4.08,527.82,B class
125,752,25,2018,Mandarin,4.56,896.0,A class
126,938,45,2022,no,3.64,285.87,B class
127,983,57,2011,no,4.99,875.45,A class
128,912,42,2014,Spanish,3.96,377.07,B class
129,952,26,2023,no,4.5,774.61,A class
130,2158,53,2022,Russian,4.27,668.45,B class
131,954,29,2014,no,4.51,925.87,B class
132,144,21,2022,no,4.45,637.89,B class
133,692,41,2020,no,4.44,554.53,B class
134,1459,33,2020,no,4.53,709.19,A class
135,2718,22,2021,Arabic,4.72,900.76,A class
136,833,57,2005,French,5.0,999.22,A class
137,2819,49,2008,Portuguese,4.68,861.43,A class
138,1575,63,2003,no,5.0,836.44,A class
139,355,43,2022,no,4.06,693.43,B class
140,2833,41,2006,no,4.82,892.07,A class
141,981,60,2005,no,4.69,799.95,A class
142,411,24,2019,Arabic,4.2,714.46,B class
143,143,37,2010,no,4.36,574.29,A class
144,1863,58,2004,no,4.48,868.82,A class
145,1641,34,2009,no,4.56,780.59,A class
146,2908,62,2017,French,4.45,783.87,A class
147,1183,34,2009,no,4.49,689.08,A class
148,146,40,2005,Mandarin,4.66,908.71,A class
149,177,63,2023,Mandarin,3.39,0.0,B class
150,1698,32,2011,French,5.0,1018.11,A class
151,2580,66,2011,no,4.18,576.47,B class
152,99,23,2020,no,4.03,392.82,B class
153,872,33,2022,no,4.1,216.47,B class
154,2331,48,2021,Arabic,4.01,591.98,B class
155,962,48,2005,Russian,4.11,556.33,B class
156,1308,63,2003,Spanish,4.21,683.36,B class
157,2175,66,2013,no,4.16,578.04,B class
158,307,52,2000,no,4.65,1063.42,A class
159,1306,52,2000,Spanish,5.0,1206.08,A class
160,1843,35,2008,no,4.91,783.14,A class
161,423,58,2009,Spanish,4.93,796.0,A class
162,80,51,1999,French,4.56,971.57,A class
163,1634,22,2021,no,4.4,715.68,B class
164,1686,60,2000,no,4.69,762.54,A class
165,1946,37,2006,no,4.05,770.28,B class
166,2417,43,2019,no,4.04,695.48,B class
167,2621,43,2007,Mandarin,4.62,764.45,A class
168,2636,59,2005,no,4.85,868.25,A class
169,2452,33,2010,no,4.49,684.75,A class
170,2064,39,2015,no,3.75,261.46,B class
171,2202,22,2021,no,4.23,536.58,B class
172,1123,37,2011,Spanish,3.84,480.54,B class
173,1052,25,2018,Spanish,4.27,517.75,A class
174,204,48,2020,no,4.33,711.15,B class
175,2906,62,2015,no,4.12,733.46,B class
176,2615,42,2001,no,4.71,846.4,A class
177,1244,63,2006,no,4.6,794.84,A class
178,2711,66,2005,no,4.7,695.14,A class
179,267,23,2020,Portuguese,3.9,488.16,B class
180,778,45,2017,no,4.21,442.65,B class
181,2141,45,2007,no,4.89,824.9,A class
182,273,39,2014,no,4.7,1009.78,A class
183,1609,60,2002,French,4.67,846.85,A class
184,902,39,2013,no,4.85,717.25,A class
185,1666,23,2020,Portuguese,4.81,786.27,A class
186,725,46,2005,no,4.37,526.52,B class
187,2041,30,2013,French,5.0,1004.12,A class
188,6,37,2006,Spanish,4.9,958.82,A class
189,2157,44,2004,no,4.88,925.64,A class
190,2784,54,2015,no,4.49,661.64,A class
191,1755,34,2010,no,5.0,1269.48,A class
192,2345,38,2012,French,4.11,437.88,B class
193,126,24,2022,Arabic,5.0,985.2,A class
194,1260,39,2009,no,4.6,968.99,A class
195,2369,48,2013,no,4.87,940.95,A class
196,2169,49,2014,no,4.07,703.65,B class
197,996,34,2021,no,4.62,755.86,A class
198,1330,23,2020,Spanish,4.71,966.6,A class
199,203,48,2009,no,3.89,471.94,B class
200,2564,51,2021,no,4.25,743.74,B class
201,1804,25,2018,Arabic,3.81,351.63,B class
202,1477,44,2019,Mandarin,4.4,758.56,B class
203,579,25,2020,French,4.17,397.82,B class
204,928,42,2013,no,4.31,499.67,B class
205,1539,51,2014,Portuguese,5.0,1426.9,A class
206,1385,54,2001,Spanish,5.0,1321.33,A class
207,1671,54,2022,no,3.72,429.46,B class
208,1487,56,2015,no,4.7,776.63,A class
209,2366,32,2011,Arabic,4.94,975.3,A class
210,1151,60,2017,no,4.12,654.71,B class
211,2449,37,2006,French,4.49,802.3,A class
212,1319,38,2005,Spanish,4.56,835.6,A class
213,426,58,2000,French,3.9,500.33,B class
214,2363,36,2007,Mandarin,4.09,417.14,B class
215,414,24,2021,Portuguese,4.63,601.78,A class
216,1976,54,2012,no,4.29,610.29,A class
217,2619,52,2005,no,4.44,371.01,B class
218,413,48,2023,Mandarin,4.01,475.38,B class
219,1491,27,2016,no,4.66,621.58,B class
220,29,50,2006,Spanish,4.74,1031.59,A class
221,26,30,2013,Mandarin,4.41,833.46,A class
222,841,47,2013,no,4.84,1181.92,A class
223,220,44,2002,French,4.23,788.74,B class
224,1724,57,2007,no,4.74,657.23,A class
225,2298,66,2022,Arabic,4.31,389.82,B class
226,404,29,2017,no,4.72,880.64,A class
227,989,26,2017,Spanish,3.94,666.51,B class
228,1811,47,2023,Arabic,5.0,1243.75,A class
229,936,65,2021,no,3.58,299.46,B class
230,638,28,2015,no,4.78,790.6,A class
231,1323,43,2000,no,4.61,815.47,A class
232,1386,40,2006,Spanish,4.76,933.39,A class
233,1493,35,2020,no,4.81,1063.64,A class
234,1213,52,2014,no,4.8,1019.64,A class
235,2446,34,2009,Arabic,4.38,673.95,B class
236,2340,44,2018,no,4.78,694.55,A class
237,1499,60,2009,no,4.92,979.75,A class
238,2365,38,2012,Spanish,4.38,574.47,B class
239,7,21,2022,no,5.0,977.56,A class
240,652,62,2005,no,4.57,980.67,A class
241,216,33,2010,Russian,4.09,418.94,B class
242,1835,57,2021,Spanish,3.85,517.7,B class
243,280,56,2012,no,4.27,661.82,B class
244,1058,45,2006,French,4.15,290.23,B class
245,1468,25,2018,no,4.21,430.63,B class
246,468,65,2007,no,4.28,400.34,B class
247,1228,53,2008,Spanish,4.03,431.86,B class
248,1938,40,2014,no,4.46,762.26,A class
249,2709,61,2021,no,4.38,698.48,B class
250,1542,58,1999,Arabic,4.37,557.58,B class
251,1137,56,2003,no,4.71,714.76,B class
252,2663,28,2015,no,4.6,575.85,A class
253,604,50,2016,no,4.52,719.94,B class
254,1763,34,2016,Mandarin,4.14,256.46,B class
255,1365,24,2019,Mandarin,4.27,938.48,A class
256,195,36,2023,Arabic,4.2,604.92,B class
257,1115,25,2019,no,3.74,40.38,B class
258,492,25,2018,French,4.44,516.4,B class
259,25,55,1999,Spanish,4.75,813.77,A class
260,75,44,2018,no,4.7,680.17,A class
261,863,39,2011,no,4.37,584.85,B class
262,201,30,2013,French,4.65,768.38,A class
263,1719,57,2015,no,3.87,339.24,B class
264,2136,50,2001,Spanish,4.3,430.38,B class
265,845,48,2021,no,4.2,656.54,B class
266,1079,29,2014,no,5.0,1133.0,A class
267,600,26,2017,Russian,4.37,677.97,A class
268,394,26,2017,French,4.41,609.9,B class
269,1397,22,2021,no,5.0,817.75,A class
270,180,66,2013,Spanish,4.4,644.4,B class
271,2235,38,2005,no,5.0,1238.04,A class
272,2666,51,2023,Mandarin,4.26,494.19,B class
273,392,67,2023,no,4.23,424.95,B class
274,1399,65,2010,no,4.43,686.25,B class
275,1387,36,2007,no,4.49,524.3,B class
276,741,44,2022,no,4.02,572.07,B class
277,922,42,2004,no,5.0,1272.92,A class
278,91,22,2021,no,4.25,884.37,A class
279,2162,57,2011,Russian,4.83,864.79,A class
280,586,47,2002,no,4.21,873.5,B class
281,238,38,2005,no,4.4,732.75,B class
282,1448,47,2018,no,4.77,885.89,A class
283,1855,55,2002,Spanish,4.12,316.14,B class
284,2304,21,2022,no,3.83,270.98,B class
285,691,51,2023,no,4.09,609.56,B class
286,2026,61,2009,Mandarin,5.0,1039.81,A class
287,1068,55,2007,no,4.29,552.52,B class
288,986,50,2003,Russian,4.52,956.52,A class
289,231,25,2018,no,4.65,643.75,B class
290,951,56,2012,Spanish,4.8,1091.46,A class
291,2881,56,2016,no,3.67,180.5,B class
292,682,44,2019,Mandarin,4.62,941.25,A class
293,979,48,2021,French,4.49,662.56,B class
294,239,50,2008,no,4.46,1046.18,A class
295,2554,26,2017,no,4.25,576.65,B class
296,1321,33,2021,no,4.19,608.37,B class
297,784,58,2006,no,4.48,669.8,A class
298,2472,66,2009,Russian,4.05,718.83,B class
299,254,33,2019,Spanish,4.25,342.84,B class
300,2840,39,2018,Spanish,4.22,628.12,B class
301,839,64,2016,Portuguese,4.37,662.02,A class
302,1783,28,2015,French,4.13,295.85,B class
303,2495,33,2016,French,4.32,459.3,B class
304,227,23,2020,no,3.7,253.64,B class
305,2548,32,2014,no,4.33,661.99,B class
306,2364,50,2021,no,4.68,887.49,A class
307,870,37,2021,no,4.36,905.85,A class
308,610,67,2013,no,4.32,693.83,B class
309,854,62,2013,no,4.58,626.58,A class
310,252,63,2005,no,4.1,607.9,B class
311,12,55,2012,no,5.0,1050.33,A class
312,2966,53,2019,no,5.0,1012.24,A class
313,1913,44,2018,no,4.38,725.96,B class
314,1055,67,2009,no,5.0,1271.88,A class
315,1378,25,2018,no,3.85,410.76,B class
316,1784,54,2007,Mandarin,3.98,442.02,B class
317,2068,27,2016,Mandarin,4.36,692.71,B class
318,1302,36,2015,no,4.58,770.22,B class
319,2934,33,2010,no,5.0,1217.03,A class
320,1590,49,2003,no,4.42,677.02,B class
321,1554,57,2018,no,4.12,271.91,B class
322,401,24,2019,no,4.15,635.06,B class
323,103,49,2016,Russian,5.0,1054.37,A class
324,256,31,2012,no,4.81,982.24,A class
325,2262,24,2019,no,4.31,246.63,B class
326,1036,40,2020,Mandarin,3.8,245.04,B class
327,746,48,2019,no,4.03,362.85,B class
328,1002,30,2023,no,4.76,1060.61,A class
329,1676,39,2023,no,4.49,697.41,A class
330,1853,65,2022,Portuguese,4.31,626.2,B class
331,1738,37,2006,no,4.95,1197.67,A class
332,1785,67,2001,Spanish,5.0,1116.2,A class
333,2632,60,2013,French,4.38,622.21,A class
334,1402,38,2005,no,4.44,738.13,A class
335,1320,48,2005,Mandarin,4.35,784.37,B class
336,783,54,2003,no,4.49,766.4,B class
337,643,42,2005,no,4.0,520.86,B class
338,2818,40,2019,no,3.78,306.11,B class
339,2106,36,2010,Russian,3.75,519.22,B class
340,787,27,2016,no,4.88,675.81,A class
341,505,22,2021,no,3.76,512.36,B class
342,795,36,2007,Portuguese,5.0,1425.8,A class
343,1211,58,2021,no,4.04,507.31,B class
344,422,31,2012,Arabic,4.97,1187.69,A class
345,2396,29,2014,Spanish,4.24,607.53,B class
346,2448,36,2021,Spanish,3.74,276.49,B class
347,1010,49,2013,Mandarin,4.86,908.13,A class
348,1599,31,2012,Mandarin,5.0,1008.13,A class
349,2545,31,2023,no,4.04,467.38,B class
350,2688,26,2019,Russian,4.51,636.82,B class
351,2656,36,2007,Portuguese,4.39,777.72,B class
352,2898,31,2019,Arabic,4.65,644.92,B class
353,1640,60,2006,Spanish,4.65,590.26,A class
354,614,63,2001,no,4.49,865.21,B class
355,576,38,2011,no,3.72,132.53,B class
356,1556,25,2018,no,4.27,438.08,B class
357,2591,25,2018,no,4.5,820.38,A class
358,1831,36,2014,Spanish,4.15,696.5,B class
359,1219,42,2014,Spanish,4.56,446.91,B class
360,35,45,2010,no,3.92,391.45,B class
