ride_id,driver_id,passenger_id,date,status,car_clearness_upvote_given,politeness_upvote_given,communication_upvote_given,punctuality_upvote_given,complaint_given
22421,961,23964,2023-01-20,Success,False,True,False,False,False
7306,1556,15574,2022-10-11,Success,False,True,False,True,False
34051,1647,11497,2022-06-16,Success,False,False,True,False,False
57816,2215,34165,2023-02-08,Success,False,False,True,False,False
5750,432,15134,2022-12-20,Success,False,True,False,True,True
35617,602,2908,2022-09-11,Success,True,True,True,True,False
16323,662,39548,2023-01-31,Rejected by the driver,False,False,False,False,False
10578,2323,10420,2023-03-23,Success,True,False,False,False,False
42017,666,3706,2022-11-27,Cancelled by the passenger,False,False,False,False,False
50393,2128,25800,2023-04-07,Success,True,False,False,True,False
3343,400,25191,2023-02-28,Success,True,True,True,True,False
38633,1969,28454,2022-10-08,Rejected by the driver,False,False,False,False,False
45925,1006,2973,2022-12-14,Cancelled by the passenger,False,False,False,False,False
9093,2346,37732,2022-07-20,Cancelled by the passenger,False,False,False,False,False
44469,2809,19856,2022-10-02,Success,True,False,True,False,False
42461,1045,10026,2022-12-27,Success,True,True,False,False,False
58882,977,2349,2022-06-16,Success,True,True,True,True,False
17850,246,27650,2022-08-02,Success,True,False,False,False,False
24442,1541,28658,2022-09-16,Success,True,True,True,True,False
49196,514,24729,2022-10-20,Success,True,False,False,False,False
31211,1371,22123,2023-01-31,Success,False,False,True,True,False
18848,656,5223,2022-12-21,Success,False,False,True,True,True
32836,794,21805,2022-10-28,Success,False,False,True,False,False
49000,2411,25379,2023-01-22,Success,False,True,True,True,False
40337,824,25062,2023-04-01,Cancelled by the passenger,False,False,False,False,False
13448,2756,8100,2022-09-12,Success,True,True,False,True,False
41159,2027,9083,2022-10-25,Success,True,True,False,True,False
10829,2028,32924,2023-01-31,Success,False,False,True,False,False
33591,2513,33716,2022-09-12,Success,False,False,False,True,False
7816,2107,30396,2023-03-03,Success,False,False,False,True,False
41618,801,16605,2022-09-16,Success,True,False,True,False,False
7924,1267,17271,2023-02-20,Success,True,False,False,False,False
8432,39,23666,2022-10-04,Rejected by the driver,False,False,False,False,False
42414,81,31529,2022-10-23,Success,False,True,False,False,False
26356,465,18158,2022-08-25,Success,True,False,True,False,False
39027,566,14181,2022-04-02,Rejected by the driver,False,False,False,False,False
1305,2523,16888,2022-05-30,Rejected by the driver,False,False,False,False,False
20699,1187,9426,2022-06-30,Cancelled by the passenger,False,False,False,False,False
19842,1847,1218,2022-07-06,Success,True,True,True,True,False
33437,676,35563,2022-03-15,Success,False,True,True,False,False
2859,540,29723,2022-04-11,Success,True,False,False,False,False
31264,1443,33145,2022-08-05,Cancelled by the passenger,False,False,False,False,False
32548,2513,11280,2023-01-03,Success,True,True,True,True,False
20452,2247,11953,2023-02-21,Success,True,True,False,False,False
16510,107,8519,2022-11-03,Rejected by the driver,False,False,False,False,False
49053,1066,34152,2022-10-31,Success,False,True,False,False,True
29294,2569,21011,2022-07-22,Success,False,True,False,True,False
38615,155,29233,2022-06-20,Success,True,True,True,False,True
225,2226,5043,2022-12-16,Cancelled by the passenger,False,False,False,False,False
34335,88,11197,2022-10-26,Success,False,True,True,False,False
26085,1352,35793,2022-06-20,Success,False,True,False,False,False
36981,1931,22065,2022-10-06,Success,True,False,True,False,False
26979,2338,10998,2023-01-20,Cancelled by the passenger,False,False,False,False,False
13211,1923,26442,2023-02-09,Success,True,False,True,True,False
51081,2876,33663,2022-09-08,Success,False,True,False,False,False
2569,274,10548,2022-08-12,Success,True,False,False,True,False
49316,2460,18506,2022-07-28,Success,True,False,False,True,True
56387,1273,7355,2022-03-24,Success,False,False,False,True,False
23602,550,39289,2022-08-07,Rejected by the driver,False,False,False,False,False
10388,1755,17074,2022-12-03,Cancelled by the passenger,False,False,False,False,False
13716,1049,12313,2023-01-09,Cancelled by the passenger,False,False,False,False,False
48436,2640,5363,2023-01-26,Success,True,True,False,False,False
58709,825,33604,2022-04-13,Success,True,True,True,False,True
27552,192,11236,2023-02-05,Success,True,True,True,False,False
33163,581,33989,2022-06-22,Cancelled by the passenger,False,False,False,False,False
18354,1158,12556,2022-10-27,Cancelled by the passenger,False,False,False,False,False
49592,1613,6483,2022-12-07,Rejected by the driver,False,False,False,False,False
37326,2958,15911,2022-06-06,Rejected by the driver,False,False,False,False,False
37982,1469,13882,2022-08-26,Rejected by the driver,False,False,False,False,False
5560,271,3099,2023-02-19,Rejected by the driver,False,False,False,False,False
18676,627,28546,2022-09-04,Success,True,False,True,False,False
23888,1062,29956,2023-03-10,Success,False,False,False,False,False
7959,474,9540,2023-03-20,Success,True,False,False,True,True
26173,617,1849,2022-05-19,Success,False,True,False,False,False
48657,961,22347,2022-05-26,Success,False,False,False,False,False
33287,2078,10673,2022-07-09,Success,False,False,True,False,True
23468,1297,18498,2022-06-21,Success,True,False,False,False,False
31498,1895,6993,2022-07-19,Success,True,False,True,False,False
33251,18,7803,2023-03-13,Success,True,False,False,False,False
52422,2536,21994,2022-07-16,Success,False,True,False,True,False
10300,1143,33679,2022-03-14,Success,False,False,False,True,False
46546,438,10175,2022-07-04,Success,True,False,True,False,False
