,driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
0,1307,0.0,2019,218,22.0,2,2.0,4.06,-1.01631,3,18,3,1,1
1,2038,6.0,2021,672,51.0,8,5.0,4.83,1.35454,1,35,0,0,0
2,569,3.0,2005,182,59.0,18,6.0,3.96,-0.22791,5,22,3,1,1
3,1898,2.0,2008,787,48.0,14,6.0,4.86,-0.46629,3,26,1,1,0
4,2499,5.0,2010,823,44.0,13,5.0,4.24,-0.18210,2,35,3,1,1
5,1112,2.0,2016,558,47.0,0,6.0,3.9,-1.31621,1,32,3,1,1
6,1236,0.0,2010,711,62.0,3,6.0,4.11,-1.05325,8,14,0,1,1
7,1124,3.0,2011,704,62.0,17,6.0,4.63,0.20959,0,39,1,0,0
8,2731,5.0,2016,788,63.0,23,4.0,4.6,-0.31504,3,13,1,0,1
9,2215,1.0,2020,306,61.0,20,3.0,4.51,0.13957,9,29,0,0,1
10,1854,4.0,2012,849,44.0,9,1.0,4.66,0.30886,2,30,2,1,0
11,1397,2.0,2022,814,30.0,2,5.0,4.53,-0.09567,3,33,2,0,0
12,719,1.0,2011,69,25.0,5,5.0,3.98,-1.07716,2,16,2,3,1
13,892,5.0,2011,508,42.0,12,1.0,4.64,0.30680,3,25,0,0,0
14,1141,6.0,2019,46,49.0,21,5.0,4.73,1.76335,0,41,1,0,0
15,2804,3.0,2022,418,65.0,8,0.0,4.53,0.82466,4,30,2,0,0
16,2180,2.0,2020,290,53.0,15,6.0,4.88,0.86347,1,47,3,0,0
17,1444,0.0,2016,301,66.0,10,6.0,4.59,0.02039,7,23,1,0,1
18,2265,3.0,2014,435,37.0,17,6.0,5.0,1.53966,0,48,0,1,0
19,2835,0.0,2015,169,42.0,5,6.0,4.47,0.03085,3,41,2,0,1
20,585,3.0,2020,877,61.0,11,6.0,4.02,-0.91821,4,8,0,1,1
21,1477,4.0,2018,375,53.0,1,2.0,4.55,0.20318,2,23,0,0,1
22,1436,4.0,2011,508,36.0,16,0.0,4.27,-0.19392,6,26,3,1,1
23,1167,0.0,2006,897,38.0,2,6.0,4.02,-0.22410,8,12,0,0,1
24,2091,0.0,2011,335,57.0,23,6.0,4.21,0.24995,1,18,0,0,1
25,1746,1.0,2014,122,36.0,16,6.0,4.84,0.97078,4,36,0,0,0
26,1699,3.0,2021,867,33.0,7,6.0,4.36,-0.27904,4,33,1,0,1
27,2784,0.0,2008,871,21.0,1,6.0,3.52,-1.69274,2,9,2,1,1
28,675,4.0,2009,113,58.0,18,2.0,4.74,0.82711,3,46,3,3,0
29,993,2.0,2019,896,60.0,9,2.0,5.0,2.08995,2,58,0,0,0
30,2052,5.0,2022,73,41.0,21,1.0,4.37,-0.43316,3,28,1,1,1
31,204,1.0,2007,260,42.0,10,6.0,4.31,-0.73279,1,29,2,0,1
32,2773,1.0,2020,230,30.0,0,6.0,3.66,-0.99839,5,10,2,0,1
33,853,1.0,2008,86,47.0,4,1.0,4.05,-0.73407,2,29,1,0,1
34,2393,6.0,2008,643,42.0,8,4.0,4.21,-0.83839,3,9,1,2,1
35,2234,5.0,2017,83,58.0,9,4.0,3.9,-1.88598,6,11,0,0,1
36,1243,5.0,2009,610,22.0,2,3.0,4.63,0.30466,2,30,0,0,0
37,1967,2.0,2006,382,40.0,20,6.0,4.37,-1.18541,2,24,1,1,1
38,1969,5.0,2013,463,50.0,18,5.0,4.44,0.01662,4,15,1,0,1
39,1390,4.0,2008,756,37.0,12,3.0,4.47,-0.32076,4,30,2,0,1
40,515,5.0,2012,138,44.0,0,1.0,4.22,-1.26955,6,35,3,1,1
41,326,0.0,2005,155,40.0,3,2.0,3.8,-1.72283,3,19,3,1,1
42,1635,3.0,2014,86,47.0,0,6.0,4.54,-0.28561,4,40,1,1,1
43,2078,5.0,2011,357,39.0,17,6.0,4.46,-0.08117,6,18,3,3,1
44,1899,6.0,2015,210,37.0,0,6.0,5.0,0.61272,3,45,3,0,0
45,2503,0.0,2019,887,44.0,7,6.0,4.07,-1.17005,3,17,1,0,1
46,2453,3.0,2010,278,28.0,8,2.0,4.32,0.21251,2,33,0,1,1
47,2749,2.0,2006,15,44.0,12,4.0,5.0,-0.04913,3,30,1,0,0
48,700,4.0,2007,305,28.0,8,2.0,4.91,0.90145,2,33,2,0,0
49,2963,4.0,2022,765,58.0,6,6.0,4.22,-0.76210,5,23,2,2,1
50,736,4.0,2006,610,38.0,18,6.0,4.49,-1.41190,5,39,1,0,0
51,2774,5.0,2018,442,46.0,16,1.0,4.57,0.34338,2,41,1,0,0
52,884,4.0,2008,219,35.0,7,6.0,4.5,1.73259,4,40,0,0,0
53,2172,1.0,2015,872,23.0,1,6.0,4.87,0.19952,1,29,0,0,0
54,1785,1.0,2010,783,51.0,10,2.0,4.56,1.18832,2,25,0,0,0
55,2772,5.0,2014,812,40.0,3,6.0,3.81,-1.94057,4,11,0,1,1
56,2675,0.0,2019,653,34.0,14,4.0,5.0,2.26193,0,54,2,0,0
57,632,3.0,2005,738,55.0,0,6.0,4.31,-1.04466,4,7,1,1,1
