driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
1307,Chevrolet Malibu,2019,218,22.0,2,Mandarin,4.06,426.75,3,18,3,1,B class
2038,Toyota Camry,2021,672,51.0,8,Spanish,4.83,1036.51,1,35,0,0,A class
569,Hyundai Sonata,2005,182,59.0,18,no,3.96,629.52,5,22,3,1,B class
1898,Honda Accord,2008,787,48.0,14,no,4.86,568.21,3,26,1,1,A class
2499,Nissan Altima,2010,823,,13,Spanish,4.24,641.3,2,35,3,1,B class
1112,Honda Accord,2016,558,47.0,0,no,3.9,349.62,1,32,3,1,B class
1236,Chevrolet Malibu,2010,711,62.0,3,no,4.11,417.25,8,14,0,1,B class
1124,Hyundai Sonata,2011,704,62.0,17,no,4.63,742.04,0,39,1,0,A class
2731,Nissan Altima,2016,788,63.0,23,Russian,4.6,607.11,3,13,1,0,B class
2215,Ford Fusion,2020,306,61.0,20,Portuguese,4.51,724.03,9,29,0,0,B class
1854,Kia Optima,2012,849,,9,French,4.66,767.57,2,30,2,1,A class
1397,Honda Accord,2022,814,30.0,2,Spanish,4.53,663.53,3,33,2,0,A class
719,Ford Fusion,2011,69,25.0,5,Spanish,3.98,411.1,2,16,2,3,B class
892,Nissan Altima,2011,508,42.0,12,French,4.64,767.04,3,25,0,0,A class
1141,Toyota Camry,2019,46,49.0,21,Spanish,4.73,1141.65,0,41,1,0,A class
2804,Hyundai Sonata,2022,418,65.0,8,Arabic,4.53,900.23,4,30,2,0,A class
2180,Honda Accord,2020,290,53.0,15,no,4.88,910.21,1,47,3,0,A class
1444,Chevrolet Malibu,2016,301,66.0,10,no,4.59,693.38,7,23,1,0,B class
2265,Hyundai Sonata,2014,435,37.0,17,no,5.0,1084.12,0,48,0,1,A class
2835,Chevrolet Malibu,2015,169,42.0,5,no,4.47,696.07,3,41,2,0,B class
585,Hyundai Sonata,2020,877,61.0,11,no,4.02,451.98,4,8,0,1,B class
1477,Kia Optima,2018,375,53.0,1,Mandarin,4.55,740.39,2,23,0,0,B class
1436,Kia Optima,2011,508,36.0,16,Arabic,4.27,638.26,6,26,3,1,B class
1167,Chevrolet Malibu,2006,897,38.0,2,no,4.02,630.5,8,12,0,0,B class
2091,Chevrolet Malibu,2011,335,57.0,23,no,4.21,752.42,1,18,0,0,B class
1746,Ford Fusion,2014,122,36.0,16,no,4.84,937.81,4,36,0,0,A class
1699,Hyundai Sonata,2021,867,33.0,7,no,4.36,616.37,4,33,1,0,B class
2784,Chevrolet Malibu,2008,871,21.0,1,no,3.52,252.78,2,9,2,1,B class
675,Kia Optima,2009,113,58.0,18,Mandarin,4.74,900.86,3,46,3,3,A class
993,Honda Accord,2019,896,60.0,9,Mandarin,5.0,1225.65,2,58,0,0,A class
2052,Nissan Altima,2022,73,41.0,21,French,4.37,576.73,3,28,1,1,B class
204,Ford Fusion,2007,260,42.0,10,no,4.31,499.67,1,29,2,0,B class
2773,Ford Fusion,2020,230,30.0,0,no,3.66,431.36,5,10,2,0,B class
853,Ford Fusion,2008,86,47.0,4,French,4.05,499.34,2,29,1,0,B class
2393,Toyota Camry,2008,643,42.0,8,Russian,4.21,472.51,3,9,1,2,B class
2234,Nissan Altima,2017,83,58.0,9,Russian,3.9,203.08,6,11,0,0,B class
1243,Nissan Altima,2009,610,22.0,2,Portuguese,4.63,766.49,2,30,0,0,A class
1967,Honda Accord,2006,382,40.0,20,no,4.37,383.26,2,24,1,1,B class
1969,Nissan Altima,2013,463,50.0,18,Spanish,4.44,692.41,4,15,1,0,B class
1390,Kia Optima,2008,756,37.0,12,Portuguese,4.47,605.64,4,30,2,0,B class
515,Nissan Altima,2012,138,44.0,0,French,4.22,361.62,6,35,3,1,B class
326,Chevrolet Malibu,2005,155,40.0,3,Mandarin,3.8,245.04,3,19,3,1,B class
1635,Hyundai Sonata,2014,86,47.0,0,no,4.54,614.68,4,40,1,1,B class
2078,Nissan Altima,2011,357,39.0,17,no,4.46,667.26,6,18,3,3,B class
1899,Toyota Camry,2015,210,37.0,0,no,5.0,845.72,3,45,3,0,A class
2503,Chevrolet Malibu,2019,887,,7,no,4.07,387.21,3,17,1,0,B class
2453,Hyundai Sonata,2010,278,28.0,8,Mandarin,4.32,742.79,2,33,0,1,B class
2749,Honda Accord,2006,15,,12,Russian,5.0,675.5,3,30,1,0,A class
700,Kia Optima,2007,305,28.0,8,Mandarin,4.91,919.98,2,33,2,0,A class
2963,Kia Optima,2022,765,58.0,6,no,4.22,492.13,5,23,2,2,B class
736,Kia Optima,2006,610,38.0,18,no,4.49,325.01,5,39,1,0,A class
2774,Nissan Altima,2018,442,46.0,16,French,4.57,776.45,2,41,1,0,A class
884,Kia Optima,2008,219,35.0,7,no,4.5,1133.74,4,40,0,0,A class
2172,Ford Fusion,2015,872,23.0,1,no,4.87,739.45,1,29,0,0,A class
1785,Ford Fusion,2010,783,51.0,10,Mandarin,4.56,993.76,2,25,0,0,A class
2772,Nissan Altima,2014,812,40.0,3,no,3.81,189.04,4,11,0,1,B class
2675,Chevrolet Malibu,2019,653,34.0,14,Russian,5.0,1269.88,0,54,2,0,A class
632,Hyundai Sonata,2005,738,55.0,0,no,4.31,419.46,4,7,1,1,B class
2650,Nissan Altima,2016,142,48.0,1,no,4.37,693.17,2,19,0,1,A class
2934,Toyota Camry,2008,212,45.0,20,no,4.17,529.52,7,15,2,0,B class
1103,Toyota Camry,2014,636,65.0,18,no,4.37,646.56,1,15,1,0,B class
2318,Kia Optima,2012,808,49.0,5,no,4.47,529.9,6,30,3,0,B class
2137,Kia Optima,2016,62,48.0,22,no,5.0,1214.54,2,56,0,0,A class
980,Kia Optima,2005,272,37.0,3,no,4.73,874.65,3,21,1,0,A class
1272,Honda Accord,2022,54,23.0,3,Portuguese,4.2,468.01,3,8,0,1,B class
207,Chevrolet Malibu,2006,71,54.0,1,no,3.72,429.46,3,21,2,1,B class
1392,Chevrolet Malibu,2008,830,37.0,17,no,3.91,688.6,4,36,2,0,B class
441,Nissan Altima,2021,772,,24,no,4.66,589.11,7,33,1,0,A class
1514,Kia Optima,2006,704,59.0,2,no,4.95,1353.69,1,35,3,0,A class
413,Kia Optima,2010,716,43.0,2,Russian,4.57,1184.71,2,34,1,0,A class
225,Nissan Altima,2016,392,66.0,1,Arabic,4.31,389.82,7,40,1,1,B class
122,Honda Accord,2005,827,25.0,4,Mandarin,4.3,482.29,3,26,2,0,B class
1427,Chevrolet Malibu,2020,212,49.0,23,no,5.0,1226.58,1,64,0,0,A class
2130,Chevrolet Malibu,2020,523,59.0,20,no,4.52,744.51,3,42,0,1,A class
378,Nissan Altima,2006,7,37.0,10,French,5.0,1041.72,0,41,0,0,A class
2359,Ford Fusion,2016,413,25.0,0,no,4.27,688.96,3,24,2,1,B class
415,Nissan Altima,2012,149,66.0,9,no,3.91,550.0,2,16,2,0,B class
2053,Honda Accord,2009,456,38.0,18,French,5.0,1113.55,0,67,0,0,A class
1743,Honda Accord,2017,668,,2,no,4.8,894.49,1,44,2,1,A class
2187,Ford Fusion,2010,652,52.0,10,Spanish,4.87,1011.85,2,22,0,0,A class
685,Ford Fusion,2015,363,24.0,4,Russian,4.43,575.41,4,18,0,0,A class
869,Ford Fusion,2005,282,34.0,14,no,4.68,613.57,3,47,2,0,A class
1610,Ford Fusion,2011,183,,2,no,4.29,581.66,3,43,2,1,B class
2786,Kia Optima,2014,253,32.0,12,Mandarin,4.73,1044.95,4,30,0,0,A class
2986,Ford Fusion,2007,203,47.0,17,no,4.39,778.26,3,31,1,0,B class
281,Nissan Altima,2022,244,,18,no,4.4,732.75,1,15,2,0,B class
1105,Nissan Altima,2014,258,45.0,18,no,4.44,923.23,3,48,1,0,A class
2744,Toyota Camry,2016,759,48.0,9,Russian,3.84,616.38,6,25,1,0,B class
1846,Nissan Altima,2013,463,24.0,4,Spanish,4.26,569.98,4,21,1,0,B class
2533,Toyota Camry,2006,625,53.0,8,no,4.14,585.43,6,31,2,1,B class
1052,Toyota Camry,2017,682,45.0,17,no,4.62,935.96,2,24,0,0,A class
1364,Toyota Camry,2013,531,28.0,2,no,4.66,530.43,4,38,2,0,B class
2283,Kia Optima,2015,409,64.0,11,no,4.46,515.03,2,29,2,0,A class
2863,Toyota Camry,2019,46,31.0,3,no,4.73,819.15,2,52,0,0,A class
965,Chevrolet Malibu,2020,241,51.0,12,no,4.37,612.05,3,25,3,0,B class
2379,Chevrolet Malibu,2017,571,42.0,13,French,4.13,620.49,4,22,4,2,B class
2652,Toyota Camry,2020,284,66.0,14,no,4.35,605.52,3,13,2,0,B class
2005,Nissan Altima,2022,22,,16,Spanish,4.43,765.93,1,28,1,0,A class
1529,Chevrolet Malibu,2018,161,37.0,10,no,5.0,1167.6,3,62,2,0,A class
2727,Chevrolet Malibu,2022,233,34.0,10,French,3.92,458.14,3,11,1,0,B class
2479,Ford Fusion,2021,254,24.0,4,Mandarin,4.24,502.76,4,16,1,0,B class
2586,Hyundai Sonata,2012,671,66.0,18,Arabic,4.65,891.54,1,29,1,0,A class
1058,Kia Optima,2019,221,49.0,17,no,4.62,958.09,2,35,0,0,A class
2044,Toyota Camry,2007,92,29.0,9,Mandarin,4.82,741.93,3,30,0,2,A class
1110,Kia Optima,2010,63,60.0,15,no,4.64,573.13,0,38,5,0,B class
2748,Honda Accord,2022,139,54.0,13,no,4.57,728.32,1,44,0,0,A class
1964,Hyundai Sonata,2015,9,57.0,15,no,4.68,921.39,4,28,2,0,A class
859,Toyota Camry,2015,692,57.0,15,French,4.71,940.47,1,35,0,0,A class
2821,Honda Accord,2005,512,21.0,1,no,5.0,1126.21,1,45,0,0,A class
2954,Kia Optima,2010,428,46.0,18,no,4.13,194.77,2,12,1,0,B class
2217,Chevrolet Malibu,2013,674,58.0,2,no,4.75,811.41,1,38,1,0,A class
2113,Kia Optima,2014,654,57.0,22,no,4.4,521.6,4,19,0,0,B class
431,Toyota Camry,2014,504,40.0,10,no,4.71,859.0,3,26,0,0,A class
2768,Toyota Camry,2008,351,26.0,1,Mandarin,4.6,1124.71,2,35,0,0,A class
260,Hyundai Sonata,2015,820,44.0,5,no,4.7,680.17,3,38,1,0,A class
2273,Honda Accord,2018,99,,3,no,4.66,771.68,1,49,1,0,A class
1708,Nissan Altima,2009,644,27.0,7,Mandarin,4.14,557.12,1,40,3,1,B class
2260,Kia Optima,2008,332,47.0,4,no,4.21,682.46,3,31,2,0,B class
1623,Kia Optima,2019,251,64.0,3,Arabic,4.54,481.49,3,20,1,1,B class
1382,Nissan Altima,2007,203,27.0,7,Arabic,3.74,316.98,5,14,3,0,B class
2615,Toyota Camry,2016,400,33.0,3,no,4.11,332.66,10,34,3,0,B class
583,Nissan Altima,2014,673,54.0,12,no,4.43,596.04,1,26,0,0,B class
2775,Nissan Altima,2014,264,66.0,9,no,5.0,1057.89,1,49,1,0,A class
751,Chevrolet Malibu,2018,771,41.0,21,Russian,4.6,1181.72,0,46,0,0,A class
1142,Chevrolet Malibu,2013,334,23.0,3,Mandarin,4.45,812.46,3,12,0,0,A class
2229,Kia Optima,2013,285,25.0,5,no,4.77,881.98,3,34,2,1,A class
2585,Nissan Altima,2021,118,45.0,22,no,4.15,325.39,4,22,2,0,B class
2480,Honda Accord,2012,896,60.0,15,no,4.51,660.43,3,44,1,0,A class
975,Honda Accord,2021,343,28.0,8,no,3.85,414.85,6,13,2,0,B class
2450,Hyundai Sonata,2005,353,38.0,16,Arabic,4.63,752.16,2,23,1,2,A class
2545,Hyundai Sonata,2022,649,41.0,0,Spanish,3.74,50.92,4,4,2,0,B class
891,Kia Optima,2015,680,66.0,5,Spanish,4.54,890.41,3,53,1,0,A class
2770,Hyundai Sonata,2018,190,67.0,15,no,4.31,747.8,2,41,5,0,B class
2107,Honda Accord,2015,793,32.0,2,Spanish,4.18,324.07,2,25,1,0,B class
1182,Ford Fusion,2022,448,56.0,4,no,4.21,366.75,3,34,1,2,B class
2977,Nissan Altima,2012,670,29.0,9,no,4.5,818.29,3,54,3,1,A class
2441,Hyundai Sonata,2012,155,37.0,7,French,4.84,1086.45,3,29,0,0,A class
2534,Chevrolet Malibu,2018,878,49.0,6,Russian,4.65,558.38,6,49,2,0,A class
673,Nissan Altima,2006,412,44.0,6,Spanish,4.35,763.77,3,29,2,1,B class
2313,Kia Optima,2019,754,39.0,19,no,4.87,515.83,4,29,3,1,A class
2867,Nissan Altima,2005,638,32.0,3,no,4.14,404.43,3,16,0,1,B class
708,Honda Accord,2022,129,62.0,2,Spanish,4.33,537.12,7,25,0,0,B class
2102,Chevrolet Malibu,2018,724,39.0,7,Spanish,4.35,602.33,5,37,0,2,B class
1328,Nissan Altima,2006,65,33.0,13,Spanish,4.82,941.36,3,47,1,0,A class
2611,Hyundai Sonata,2005,256,29.0,9,Mandarin,4.59,838.07,2,48,2,1,A class
2893,Toyota Camry,2013,593,64.0,18,Russian,4.04,207.36,5,19,1,1,B class
71,Hyundai Sonata,2012,527,60.0,23,no,4.33,868.18,6,28,2,0,A class
1225,Toyota Camry,2006,224,22.0,2,Portuguese,4.86,982.57,1,31,4,0,A class
2694,Chevrolet Malibu,2017,620,38.0,15,French,4.33,339.03,3,21,2,0,B class
1163,Honda Accord,2006,429,66.0,2,no,4.76,533.15,3,35,1,0,A class
1878,Honda Accord,2011,809,27.0,7,no,3.99,562.01,6,22,3,1,B class
35,Kia Optima,2009,691,43.0,21,no,4.67,578.46,1,19,0,0,A class
2931,Kia Optima,2006,793,49.0,1,French,4.94,913.17,0,39,1,0,A class
1601,Toyota Camry,2009,719,23.0,3,no,4.49,943.33,2,47,4,2,A class
2996,Toyota Camry,2012,19,44.0,23,Russian,5.0,981.53,1,45,0,0,A class
373,Nissan Altima,2016,161,38.0,10,no,5.0,1023.18,2,62,0,0,A class
