order_id,courier_id,customer_id,order_date,status,order_value
7037,6136,123773,2023-07-15,Delivered,43.91
16590,5368,173416,2023-09-01,Delivered,30.87
60732,7297,176059,2023-06-28,Delivered,46.88
52925,6584,131162,2024-05-17,Delivered,33.74
30293,5811,109856,2023-11-22,Cancelled by customer,15.38
59300,6373,146335,2024-01-28,Cancelled by customer,23.72
255,7299,115757,2023-11-16,Delivered,30.45
8754,5078,177738,2024-04-19,Delivered,21.31
61922,6057,132774,2023-08-24,Delivered,42.62
29386,5830,123918,2024-02-27,Delivered,33.22
24685,5906,118351,2024-02-12,Delivered,42.6
16692,6615,132867,2024-04-03,Delivered,30.03
31078,6754,116139,2023-09-24,Delivered,9.39
69057,7280,149639,2023-10-19,Delivered,16.19
36893,5206,149805,2024-05-07,Delivered,31.75
17203,7147,167305,2023-06-07,Delivered,31.81
27229,5284,154919,2024-01-13,Cancelled by customer,89.11
32571,6508,111836,2023-08-21,Delivered,39.08
64383,5217,103828,2024-03-19,Delivered,16.27
1981,6121,157368,2023-08-12,Cancelled by customer,50.86
60086,5536,119361,2023-12-20,Delivered,19.81
28152,5299,159749,2023-12-15,Delivered,7.8
24156,5749,124058,2024-01-03,Cancelled by customer,25.87
4079,5554,170295,2023-11-04,Unassigned,39.53
4254,6333,140953,2023-08-06,Delivered,21.26
35495,7390,152076,2024-03-20,Delivered,18.23
21641,6873,173557,2023-08-30,Delivered,29.59
61511,7367,136657,2023-06-27,Delivered,38.58
981,5689,160535,2023-12-01,Delivered,11.24
52774,7282,171399,2023-09-12,Delivered,67.43
32906,5307,160248,2023-08-13,Delivered,4.0
62212,5739,168159,2024-03-25,Delivered,19.44
47583,5768,153130,2024-01-06,Cancelled by customer,25.44
11809,6248,109126,2024-05-11,Unassigned,21.67
47557,5938,156070,2024-02-06,Delivered,23.09
764,5546,128849,2024-04-03,Delivered,26.89
20076,7168,168016,2023-07-18,Delivered,58.57
22935,5339,112383,2023-07-23,Delivered,38.06
39059,5421,154005,2024-04-30,Delivered,28.59
66565,5869,155212,2023-07-21,Unassigned,54.26
32140,5855,173340,2023-06-21,Delivered,10.8
2511,5798,109183,2024-02-25,Delivered,6.87
13449,7424,126091,2023-08-18,Delivered,63.36
65736,5921,107804,2024-04-02,Delivered,13.96
64774,6355,175104,2024-02-27,Delivered,17.9
51840,5839,109238,2024-02-21,Delivered,18.52
18011,7146,150612,2024-01-12,Cancelled by customer,14.14
43955,5608,147825,2024-05-15,Delivered,16.32
40309,6733,103757,2024-05-15,Delivered,29.49
9941,5166,101568,2023-07-12,Delivered,22.15
55584,6669,147925,2023-07-17,Delivered,27.39
5177,7417,111498,2024-02-03,Delivered,50.6
69813,6328,112345,2023-07-13,Delivered,20.88
65002,7375,104889,2023-09-17,Delivered,40.77
2544,6366,117796,2024-02-02,Cancelled by customer,25.22
62550,6363,139445,2024-01-07,Delivered,18.54
11532,5644,119922,2023-11-13,Unassigned,23.41
2967,5896,165401,2024-01-08,Cancelled by customer,31.38
9429,5976,167028,2023-07-11,Delivered,43.11
40386,5614,104315,2024-02-11,Unassigned,30.34
59721,6815,110449,2023-07-12,Delivered,16.92
