courier_id,city,vehicle_type,vehicle_age_years,days_since_service,age,tenure_days,rating,total_earnings,number_of_orders,number_of_five_star_orders,on_time_rate,courier_tier
5000,Seattle,Bicycle,3,60,20,1718,3.81,13999.22,32,7,0.625,Standard
5001,Austin,Walking,7,613,22,699,4.69,14639.53,31,12,0.7742,Gold
5002,Denver,Car,7,399,54,164,3.95,8522.83,34,4,0.5588,Standard
5003,Boston,Car,7,105,63,148,3.92,7106.86,29,6,0.5517,Standard
5004,Chicago,Bicycle,9,218,40,192,3.97,10204.6,12,1,0.3333,Standard
5005,Denver,Car,11,125,57,1031,4.24,12925.85,34,4,0.4412,Standard
5006,Boston,E-bike,1,419,25,1045,3.9,12294.93,23,3,0.6087,Standard
5007,Denver,E-bike,3,640,51,248,3.96,9289.01,26,7,0.6538,Standard
5008,Chicago,Car,11,262,18,1715,4.05,16596.42,37,11,0.7838,Standard
5009,Austin,Car,8,324,20,394,4.32,12795.67,42,13,0.6905,Gold
5010,Denver,Walking,3,243,40,1581,4.09,16018.73,17,4,0.7059,Standard
5011,Boston,Bicycle,6,228,38,1150,4.61,17281.23,26,15,0.8077,Gold
5012,Chicago,Car,12,678,50,1719,4.97,20300.12,27,19,0.8889,Gold
5013,Boston,Scooter,8,79,50,477,3.65,7309.26,21,1,0.5714,Standard
5014,Austin,E-bike,2,462,36,70,3.9,9352.31,26,3,0.6154,Standard
5015,Chicago,Scooter,1,27,63,734,4.33,10520.48,27,1,0.4815,Standard
5016,Seattle,Scooter,3,66,54,1044,4.87,15581.31,24,14,0.75,Gold
5017,Austin,Car,7,612,44,852,4.23,12338.58,38,6,0.6842,Standard
5018,Denver,E-bike,6,163,27,227,4.43,10361.85,31,8,0.6129,Standard
5019,Boston,Car,12,372,41,259,3.86,7883.0,35,4,0.5143,Standard
5020,Seattle,Car,6,198,39,950,3.71,9018.53,37,3,0.5135,Standard
5021,Boston,E-bike,4,426,51,445,4.14,11052.47,37,14,0.7027,Standard
5022,Chicago,Car,12,637,18,1605,4.22,13635.65,30,4,0.6,Standard
5023,Denver,Bicycle,12,188,48,944,4.83,15770.95,28,19,0.75,Gold
5024,Seattle,Car,12,48,26,1274,3.89,12346.55,25,4,0.52,Standard
5025,Boston,E-bike,6,98,26,422,4.21,11253.39,28,8,0.4643,Standard
5026,Austin,Walking,1,89,62,1520,4.45,19572.73,31,19,0.871,Gold
5027,Austin,Scooter,12,541,56,1382,4.23,14769.62,29,6,0.5862,Standard
5028,Seattle,Car,9,280,46,1637,4.43,19586.91,29,12,0.7586,Gold
5029,Austin,Car,6,81,21,499,4.9,15618.45,26,18,0.8846,Gold
5030,Denver,Car,3,511,49,1018,4.37,16433.61,30,14,0.8333,Gold
5031,Seattle,Bicycle,4,138,25,1496,4.26,18346.5,32,17,0.7812,Standard
