vehicle_id,vehicle_type,purchase_year,last_service_date
1000,Walking,2013,03/09/2023
1001,Car,2014,07/03/2023
1002,Scooter,2015,28/03/2023
1003,Scooter,2019,08/12/2022
1004,Walking,2023,22/08/2023
1005,Bicycle,2012,25/02/2024
1006,Car,2017,18/10/2022
1007,Scooter,2018,28/01/2023
1008,E-bike,2016,25/02/2023
1009,Car,2016,15/12/2023
1010,Car,2017,03/05/2024
1011,Car,2014,01/10/2023
1012,Bicycle,2021,27/12/2022
1013,Bicycle,2017,24/12/2023
1014,Walking,2023,30/12/2022
1015,Car,2018,13/04/2023
1016,Bicycle,2019,03/02/2023
1017,Car,2012,27/10/2023
1018,Car,2023,04/04/2023
1019,Bicycle,2014,15/05/2024
1020,Bicycle,2016,30/10/2023
1021,E-bike,2015,22/05/2024
1022,E-bike,2017,09/04/2023
1023,Scooter,2018,22/06/2023
1024,Bicycle,2016,19/11/2022
1025,Car,2022,06/06/2023
1026,Car,2014,03/12/2022
1027,Car,2015,01/05/2024
1028,Walking,2014,14/12/2022
1029,Walking,2022,22/05/2024
1030,Scooter,2017,29/12/2023
1031,Scooter,2023,25/11/2023
1032,Car,2021,06/12/2022
1033,Car,2013,04/11/2023
1034,Scooter,2012,30/09/2022
1035,Scooter,2016,11/01/2023
1036,E-bike,2020,01/05/2024
1037,Scooter,2023,15/10/2023
1038,Scooter,2012,02/11/2023
1039,Car,2020,18/07/2023
1040,Car,2018,16/12/2022
1041,Car,2018,06/08/2022
1042,Scooter,2021,15/11/2022
1043,Car,2012,18/04/2023
1044,E-bike,2017,04/05/2023
1045,Car,2021,20/07/2022
1046,Car,2019,27/07/2022
1047,Walking,2012,28/05/2023
1048,E-bike,2017,11/12/2023
1049,Walking,2018,01/03/2023
1050,Car,2021,08/04/2024
1051,Scooter,2013,14/08/2023
1052,Car,2023,07/02/2024
1053,Car,2017,08/12/2023
1054,E-bike,2019,07/04/2024
1055,E-bike,2016,17/03/2023
1056,Walking,2014,25/09/2023
1057,Walking,2018,04/03/2024
1058,Walking,2020,20/07/2023
1059,E-bike,2016,01/07/2023
1060,Car,2015,02/09/2022
1061,Bicycle,2022,28/01/2023
1062,Car,2019,22/11/2022
1063,Car,2017,13/02/2024
1064,E-bike,2014,30/08/2023
1065,E-bike,2013,06/10/2023
1066,Bicycle,2015,02/12/2022
1067,Car,2023,12/06/2023
1068,Scooter,2014,16/08/2022
1069,E-bike,2018,03/06/2023
1070,Bicycle,2018,22/12/2022
1071,Bicycle,2014,03/09/2023
1072,Bicycle,2023,20/06/2023
1073,Scooter,2016,06/10/2023
1074,Walking,2016,11/04/2023
1075,Car,2019,23/11/2023
1076,Walking,2022,25/04/2024
1077,Scooter,2023,14/04/2024
1078,Bicycle,2022,09/09/2022
1079,E-bike,2017,09/03/2024
1080,E-bike,2021,24/04/2023
1081,E-bike,2015,17/01/2023
1082,E-bike,2016,25/07/2022
1083,Walking,2022,10/12/2023
1084,Bicycle,2014,22/11/2022
1085,Walking,2017,06/03/2023
1086,Car,2023,14/09/2022
1087,Scooter,2022,28/07/2023
1088,Car,2016,24/04/2024
1089,Car,2020,04/03/2024
1090,Bicycle,2020,27/11/2022
1091,E-bike,2020,24/04/2023
1092,Car,2016,12/03/2023
1093,Car,2019,23/02/2024
1094,Walking,2013,03/11/2022
1095,Car,2018,16/11/2023
1096,Scooter,2012,07/12/2022
1097,E-bike,2012,09/09/2023
1098,Bicycle,2023,11/01/2024
1099,Car,2019,03/08/2023
1100,Bicycle,2022,10/03/2024
1101,Car,2020,29/09/2023
1102,Scooter,2019,26/06/2023
1103,Scooter,2018,28/07/2023
1104,E-bike,2016,06/06/2023
1105,Car,2018,05/01/2023
1106,E-bike,2019,05/11/2023
1107,E-bike,2016,07/03/2023
1108,E-bike,2017,25/02/2023
1109,Bicycle,2020,03/03/2023
1110,Car,2012,23/06/2023
1111,Car,2016,19/11/2023
1112,E-bike,2017,01/06/2023
1113,E-bike,2014,18/10/2022
1114,Car,2019,26/09/2023
1115,Scooter,2016,08/03/2023
1116,Car,2022,27/04/2023
1117,Car,2016,10/09/2022
1118,E-bike,2012,31/05/2023
1119,Car,2021,02/04/2024
1120,E-bike,2020,22/10/2023
1121,Bicycle,2023,30/03/2023
1122,Car,2012,29/09/2023
1123,E-bike,2017,29/11/2023
1124,Walking,2021,27/05/2024
1125,Car,2022,04/05/2023
1126,E-bike,2022,24/01/2023
1127,E-bike,2017,16/11/2022
1128,Car,2022,25/09/2022
1129,E-bike,2017,08/04/2023
1130,E-bike,2014,23/08/2023
1131,Bicycle,2012,25/11/2022
1132,Bicycle,2020,11/10/2023
1133,Car,2017,11/12/2023
1134,Car,2023,02/11/2023
1135,Car,2021,03/11/2023
1136,Bicycle,2013,17/03/2024
1137,Walking,2019,11/04/2023
1138,Car,2022,24/11/2023
1139,E-bike,2022,27/05/2023
1140,Car,2020,13/01/2024
1141,Bicycle,2023,30/01/2023
1142,Scooter,2019,26/11/2023
1143,Car,2013,21/10/2022
1144,Car,2023,13/12/2022
1145,Bicycle,2019,05/10/2022
1146,E-bike,2019,21/03/2024
1147,Walking,2019,30/04/2023
1148,Walking,2012,09/11/2023
1149,Bicycle,2019,15/08/2022
1150,E-bike,2015,16/05/2023
1151,Scooter,2016,14/03/2024
1152,E-bike,2012,10/05/2024
1153,E-bike,2020,01/03/2024
1154,Bicycle,2022,02/09/2023
1155,Car,2018,19/02/2024
1156,E-bike,2021,31/08/2022
1157,Car,2023,30/11/2022
1158,E-bike,2012,26/12/2022
1159,Car,2016,22/12/2022
1160,Car,2021,03/09/2022
1161,E-bike,2023,30/10/2022
1162,Bicycle,2023,20/05/2023
