zone_id,city,region,zone_name
1,Austin,South,Austin-1
2,Austin,South,Austin-2
3,Austin,South,Austin-3
4,Austin,South,Austin-4
5,Boston,Northeast,Boston-1
6,Boston,Northeast,Boston-2
7,Boston,Northeast,Boston-3
8,Boston,Northeast,Boston-4
9,Chicago,Midwest,Chicago-1
10,Chicago,Midwest,Chicago-2
11,Chicago,Midwest,Chicago-3
12,Chicago,Midwest,Chicago-4
13,Denver,West,Denver-1
14,Denver,West,Denver-2
15,Denver,West,Denver-3
16,Denver,West,Denver-4
17,Seattle,West,Seattle-1
18,Seattle,West,Seattle-2
19,Seattle,West,Seattle-3
20,Seattle,West,Seattle-4
