,courier_id,city,vehicle_age_years,days_since_service,age,tenure_days,rating,total_earnings,number_of_orders,number_of_five_star_orders,on_time_rate,number_of_cancellations,number_of_complaints,avg_delivery_minutes,courier_tier,vehicle_type_Car,vehicle_type_Bicycle,vehicle_type_Walking,vehicle_type_E-bike,vehicle_type_Scooter
0,5247,3.0,12,21,21,201,4.67,0.4444,31,10,0.8214,2,1,29.52,1,1,0,0,0,0
1,6980,1.0,7,157,22,415,3.98,0.4238,28,8,0.6957,5,0,32.84,0,0,1,0,0,0
2,6165,0.0,6,612,53,1470,4.71,0.7377,18,11,1.0,1,1,29.36,1,0,0,1,0,0
3,5551,2.0,9,203,34,1390,4.94,0.8586,30,23,1.0,3,0,23.03,1,0,0,0,1,0
4,5271,3.0,5,365,29,902,4.01,0.5061,22,3,0.9286,5,2,34.04,0,0,0,0,1,0
5,5998,0.0,9,149,39,162,4.71,0.4654,32,21,0.963,2,4,31.63,1,0,0,0,1,0
6,6339,3.0,8,507,20,280,4.39,0.4610,26,15,0.7917,1,2,31.33,1,0,0,0,0,1
7,7443,0.0,1,401,40,588,3.92,0.3368,32,9,0.76,4,1,33.41,0,0,1,0,0,0
8,6927,4.0,10,578,32,879,4.3,0.6144,41,20,0.8889,4,3,30.48,1,1,0,0,0,0
9,5073,4.0,8,336,34,1606,4.51,0.6572,35,12,0.8333,5,5,31.04,1,0,0,0,1,0
10,5237,0.0,4,481,19,1234,4.21,0.4310,29,6,0.8148,2,3,34.82,0,0,1,0,0,0
11,5394,1.0,10,553,30,125,4.23,0.3653,19,5,0.6875,2,0,33.83,0,0,1,0,0,0
12,6377,0.0,5,648,33,1202,4.53,0.6228,18,9,0.9375,2,1,31.4,1,1,0,0,0,0
13,6658,0.0,3,191,49,1768,4.64,0.9055,24,18,1.0,1,0,27.41,1,0,0,0,0,1
14,6187,0.0,9,18,22,1067,4.36,0.5679,26,14,0.875,2,0,30.68,1,0,0,0,1,0
15,5261,2.0,2,487,46,765,4.19,0.3973,27,10,0.7826,2,1,35.73,0,0,0,0,0,1
16,5447,2.0,8,630,44,1467,4.62,0.6665,27,13,0.7917,3,0,30.98,1,1,0,0,0,0
17,7273,2.0,11,422,63,252,3.91,0.3332,35,7,0.7143,4,5,32.21,0,1,0,0,0,0
18,5857,3.0,5,353,30,781,4.83,0.6450,32,19,0.9615,5,1,32.84,1,0,1,0,0,0
19,6064,3.0,11,225,40,1020,3.92,0.4227,22,5,0.6923,5,1,35.95,0,0,1,0,0,0
20,6256,0.0,8,129,52,1051,4.39,0.6042,26,13,0.7143,3,0,29.61,1,1,0,0,0,0
21,7410,1.0,8,302,43,1796,4.3,0.6106,36,4,0.8333,7,2,32.45,0,0,1,0,0,0
22,7240,1.0,4,48,23,1312,4.11,0.5331,27,5,0.8182,5,3,35.02,0,1,0,0,0,0
23,6899,4.0,2,360,41,707,3.47,0.2552,22,4,0.4667,5,1,38.61,0,0,1,0,0,0
24,5200,1.0,5,333,43,1172,4.65,0.5993,34,17,1.0,2,0,32.84,1,0,0,0,1,0
25,5911,1.0,1,255,26,1555,4.05,0.5246,45,7,0.6842,5,1,37.14,0,1,0,0,0,0
26,5043,2.0,8,647,19,524,4.85,0.5993,28,18,1.0,0,1,26.52,1,0,1,0,0,0
27,6316,4.0,6,309,32,1079,4.83,0.6943,34,23,0.8621,1,0,27.82,1,0,0,0,0,1
28,5720,1.0,3,629,47,52,4.64,0.3587,33,16,0.9259,4,2,34.13,1,0,0,0,1,0
29,5953,2.0,9,99,53,1069,3.8,0.3339,34,2,0.8333,6,3,35.57,0,0,0,1,0,0
30,6173,1.0,5,630,30,1400,4.61,0.5413,26,7,0.8696,3,1,32.84,0,0,0,0,1,0
31,6951,1.0,6,532,54,1235,3.87,0.3909,28,0,0.5714,6,3,38.18,0,0,0,0,1,0
32,5092,0.0,2,305,44,954,4.19,0.5025,32,5,0.7308,2,2,31.88,0,0,0,0,0,1
33,5983,2.0,1,128,54,164,4.53,0.4526,27,15,0.9565,4,0,28.97,1,0,0,0,0,1
34,6480,3.0,10,583,22,1356,4.3,0.5844,28,8,0.7727,3,6,32.8,0,0,0,1,0,0
35,7131,2.0,10,346,60,35,4.1,0.2033,22,5,0.8125,4,0,36.86,0,1,0,0,0,0
36,5981,3.0,3,520,18,1711,4.3,0.5373,24,4,0.5556,2,4,32.84,0,0,0,0,0,1
37,6510,3.0,9,391,42,1581,4.22,0.5390,33,9,0.8,7,1,35.26,0,1,0,0,0,0
38,6485,3.0,2,394,19,1637,5.0,0.8223,26,21,1.0,1,1,26.98,1,1,0,0,0,0
39,7196,0.0,4,103,34,1046,4.93,0.6372,24,16,0.9565,1,1,29.31,1,0,0,0,0,1
40,5937,4.0,8,317,60,393,4.81,0.4198,31,18,0.7778,2,0,30.48,1,0,0,0,1,0
41,7074,3.0,10,229,21,1306,4.92,0.8388,23,17,1.0,1,1,25.7,1,0,0,1,0,0
42,6500,0.0,6,435,19,501,4.16,0.3333,26,6,0.7895,7,2,34.42,0,0,1,0,0,0
43,5388,1.0,7,248,31,1290,3.72,0.4000,33,3,0.64,4,3,37.4,0,1,0,0,0,0
44,5164,1.0,8,67,21,468,4.68,0.4279,36,17,0.8387,2,2,29.5,1,0,0,0,1,0
45,7056,2.0,7,169,47,414,4.29,0.3043,31,5,0.76,4,2,34.55,0,0,0,0,0,1
46,5794,2.0,10,375,35,965,4.25,0.5541,32,11,0.8148,2,4,32.04,0,0,0,0,1,0
47,6160,4.0,4,512,29,107,4.52,0.4392,32,13,0.9655,2,1,31.84,1,1,0,0,0,0
48,7142,0.0,8,338,54,147,4.31,0.3245,30,8,0.8696,4,3,35.13,0,0,1,0,0,0
49,7059,0.0,6,252,46,602,3.99,0.3822,26,4,0.85,3,3,37.23,0,0,0,0,0,1
50,7020,2.0,8,500,53,768,4.35,0.3947,38,6,0.7586,7,2,34.32,0,1,0,0,0,0
51,7032,2.0,6,648,49,1701,4.77,0.7302,38,20,0.9677,4,1,29.15,1,0,0,0,0,1
52,6657,3.0,7,576,39,1248,4.32,0.4803,26,5,0.7059,7,1,38.14,0,0,0,1,0,0
53,5608,4.0,7,399,22,1424,4.78,0.7643,19,14,1.0,0,0,32.84,1,0,0,0,0,1
54,6559,3.0,11,398,42,859,5.0,0.7903,26,24,0.96,0,3,30.85,1,0,0,0,1,0
55,6867,1.0,4,564,44,1318,4.86,0.7281,25,19,1.0,3,0,24.52,1,1,0,0,0,0
56,6280,3.0,4,625,30,610,4.34,0.5009,23,11,0.9524,2,2,31.31,1,1,0,0,0,0
57,7140,1.0,8,129,57,1581,4.31,0.6086,25,4,0.7391,1,4,34.44,0,0,0,1,0,0
58,5248,3.0,9,36,61,165,4.06,0.3550,36,14,0.75,3,3,32.84,0,1,0,0,0,0
59,5928,2.0,9,334,42,54,4.69,0.4300,23,11,0.9,3,1,32.84,1,1,0,0,0,0
60,7357,3.0,3,5,51,1372,3.92,0.5295,29,3,0.5263,6,1,37.12,0,0,0,1,0,0
61,5433,4.0,6,140,39,312,4.49,0.4409,37,14,0.8788,3,2,33.55,0,0,1,0,0,0
62,5820,4.0,1,230,34,234,4.38,0.2366,34,9,0.6452,1,4,33.57,0,0,0,0,0,1
63,6376,4.0,5,127,43,464,5.0,0.5802,32,15,1.0,4,0,30.17,1,1,0,0,0,0
64,7099,3.0,11,444,28,1084,3.82,0.3274,28,2,0.6923,7,1,40.83,0,0,0,0,1,0
65,6605,4.0,2,295,34,454,4.63,0.4733,29,10,0.913,3,3,32.84,1,1,0,0,0,0
66,5024,4.0,12,48,26,1274,3.89,0.4443,25,4,0.65,4,1,36.74,0,1,0,0,0,0
67,6667,0.0,1,226,34,46,3.82,0.2352,19,1,0.6923,5,0,35.4,0,0,0,0,1,0
68,5736,2.0,5,642,57,1165,4.36,0.5883,29,7,0.8636,4,2,29.29,1,0,1,0,0,0
69,7021,2.0,9,388,41,551,4.39,0.3724,26,6,0.8182,3,1,34.16,0,0,0,0,1,0
70,7206,0.0,7,460,38,983,4.6,0.5095,26,5,0.8421,1,2,33.56,0,0,0,0,1,0
71,5193,0.0,2,281,62,985,4.94,0.6725,28,23,0.9583,2,0,27.92,1,1,0,0,0,0
72,5501,4.0,8,426,28,1512,3.95,0.4245,20,3,0.6842,0,1,38.46,0,0,0,0,1,0
73,6257,1.0,4,234,24,1776,4.48,0.7160,27,13,0.7917,1,4,32.6,0,0,1,0,0,0
74,6750,2.0,6,534,40,378,4.74,0.4847,37,22,0.9412,3,2,30.13,1,0,1,0,0,0
75,7384,0.0,4,149,52,126,4.3,0.3476,26,7,0.6842,4,1,34.42,0,0,0,1,0,0
76,7139,0.0,5,684,56,1437,4.84,0.5944,32,16,0.8667,2,2,30.08,1,1,0,0,0,0
77,7476,2.0,2,490,27,503,4.17,0.4420,25,6,0.875,5,1,34.36,0,0,0,0,1,0
78,5859,1.0,7,416,55,1271,4.78,0.6341,21,13,0.9474,0,1,28.69,1,0,0,0,1,0
79,5949,0.0,3,152,37,328,3.71,0.2491,30,6,0.8421,9,0,37.96,0,0,0,1,0,0
80,5700,3.0,4,6,29,1073,4.2,0.4253,32,4,0.8696,5,2,32.9,0,0,1,0,0,0
81,6833,1.0,7,494,21,1143,4.37,0.5983,20,10,0.8421,1,1,32.2,1,1,0,0,0,0
82,5166,4.0,11,690,61,1579,4.73,0.6415,37,18,0.75,7,4,32.26,1,0,0,0,1,0
83,5449,4.0,4,138,62,244,4.77,0.4102,22,10,0.8571,0,2,29.54,1,0,0,1,0,0
84,5777,3.0,3,343,54,505,4.13,0.3849,38,10,0.8621,7,4,32.84,0,1,0,0,0,0
85,6301,4.0,8,240,62,807,3.67,0.4194,36,4,0.8077,7,2,32.22,0,0,0,0,1,0
86,5553,4.0,3,489,55,594,3.78,0.2235,31,1,0.4583,3,3,38.24,0,0,0,0,1,0
87,7022,1.0,11,32,25,466,4.76,0.6251,19,11,1.0,0,0,32.84,1,1,0,0,0,0
88,6767,1.0,5,254,40,1525,4.06,0.5135,34,3,0.7917,5,4,36.5,0,1,0,0,0,0
89,5324,4.0,5,166,38,1601,4.8,0.7349,24,8,0.9524,2,1,29.66,1,1,0,0,0,0
90,6578,0.0,10,273,63,854,4.41,0.4818,25,6,0.7143,1,5,33.15,0,0,0,0,1,0
91,7183,0.0,8,645,40,49,4.66,0.4710,29,13,0.8929,1,0,29.93,1,0,0,0,0,1
92,5276,4.0,9,535,45,567,3.93,0.2026,29,0,0.6087,3,0,40.9,0,0,0,0,1,0
93,7207,0.0,11,657,56,498,4.01,0.2735,32,7,0.7727,4,5,39.85,0,0,0,0,1,0
94,6040,1.0,7,680,58,1128,3.49,0.3356,31,0,0.4091,5,1,38.7,0,1,0,0,0,0
95,6989,1.0,7,322,33,1706,3.89,0.5738,21,6,0.6471,3,2,34.29,0,0,1,0,0,0
96,5773,0.0,4,633,51,636,4.99,0.5299,27,16,0.9565,4,0,28.96,1,0,0,0,0,1
97,5096,3.0,1,60,46,1302,4.71,0.5814,27,11,0.7727,3,3,31.57,1,0,0,0,1,0
98,6419,3.0,12,523,49,1634,4.49,0.6208,27,13,0.7083,3,2,33.76,1,1,0,0,0,0
99,7329,1.0,6,234,18,618,3.77,0.2218,36,3,0.5357,6,1,41.82,0,0,1,0,0,0
100,6981,3.0,2,30,36,821,4.33,0.5604,25,8,0.8095,4,2,28.61,0,0,0,0,1,0
101,5232,0.0,3,521,18,1148,4.44,0.6625,34,22,0.9,2,2,30.01,1,0,0,1,0,0
102,5605,0.0,9,123,29,334,4.59,0.4404,23,10,0.95,2,0,30.94,1,1,0,0,0,0
103,5080,2.0,8,191,27,819,4.32,0.5224,25,9,0.5556,6,0,29.42,0,0,0,0,1,0
104,6727,2.0,5,580,37,110,4.43,0.2169,31,5,0.6522,4,2,36.99,0,1,0,0,0,0
105,5975,2.0,12,366,39,1498,4.56,0.6295,31,11,0.7586,1,1,32.7,0,1,0,0,0,0
106,5369,2.0,8,24,22,1491,4.26,0.5774,36,13,0.6875,3,4,31.95,0,0,0,0,0,1
107,6913,4.0,3,316,53,116,4.39,0.2788,25,4,0.7895,5,2,36.9,0,0,0,0,0,1
108,7191,2.0,12,245,26,845,3.99,0.4762,25,6,0.8261,1,3,32.22,0,0,0,0,1,0
109,6620,1.0,1,309,36,1238,4.2,0.5825,20,6,1.0,1,0,31.88,0,0,0,0,1,0
110,6756,2.0,2,687,59,735,4.0,0.2960,40,2,0.5667,4,1,36.94,0,1,0,0,0,0
111,5855,3.0,3,101,18,885,4.69,0.6876,32,22,0.9032,1,3,28.15,1,0,1,0,0,0
112,7315,0.0,7,548,35,666,4.41,0.4206,22,4,0.8421,2,1,33.77,1,1,0,0,0,0
113,6914,3.0,12,76,31,987,4.76,0.7352,23,12,1.0,1,0,29.2,1,1,0,0,0,0
114,6471,4.0,5,584,37,765,4.51,0.6297,34,16,0.931,5,0,32.84,1,0,0,0,0,1
115,5494,1.0,2,316,49,443,4.06,0.4066,23,7,0.7222,3,2,29.89,0,0,0,0,0,1
116,6760,2.0,4,132,60,1294,4.38,0.6094,39,22,0.8438,4,1,32.84,1,0,1,0,0,0
117,5077,4.0,8,564,29,382,4.57,0.4932,33,10,0.8182,8,2,32.37,1,0,0,1,0,0
118,6600,1.0,8,451,47,307,4.31,0.3257,21,5,0.7333,4,5,34.3,0,0,0,0,0,1
119,7047,4.0,11,590,26,837,4.43,0.6193,29,16,1.0,2,3,29.77,1,1,0,0,0,0
