courier_id,city,vehicle_type,vehicle_age_years,days_since_service,age,tenure_days,rating,total_earnings,number_of_orders,number_of_five_star_orders,on_time_rate,number_of_cancellations,number_of_complaints,avg_delivery_minutes,courier_tier
5247,Denver,Car,12,21,21,201,4.67,12347.39,31,10,0.8214,2,1,29.52,Gold
6980,Boston,Bicycle,7,157,22,415,3.98,11863.33,28,8,0.6957,5,0,32.84,Standard
6165,Austin,Walking,6,612,53,1470,4.71,19256.16,18,11,1.0,1,1,29.36,Gold
5551,Chicago,E-bike,9,203,34,1390,4.94,22103.12,30,23,1.0,3,0,23.03,Gold
5271,Denver,E-bike,5,365,29,902,4.01,13802.63,22,3,0.9286,5,2,34.04,Standard
5998,Austin,E-bike,9,149,39,162,4.71,12843.38,32,21,0.963,2,4,31.63,Gold
6339,Denver,Scooter,8,507,20,280,4.39,12738.45,26,15,0.7917,1,2,31.33,Gold
7443,Austin,Bicycle,1,401,40,588,3.92,9814.85,32,9,0.76,4,1,33.41,Standard
6927,Seattle,Car,10,578,32,879,4.3,16351.1,41,20,0.8889,4,3,30.48,Gold
5073,Seattle,E-bike,8,336,34,1606,4.51,17359.46,35,12,0.8333,5,5,31.04,Gold
5237,Austin,Bicycle,4,481,19,1234,4.21,12033.49,29,6,0.8148,2,3,34.82,Standard
5394,Boston,Bicycle,10,553,30,125,4.23,10484.7,19,5,0.6875,2,0,33.83,Standard
6377,Austin,Car,5,648,33,1202,4.53,16550.51,18,9,0.9375,2,1,31.4,Gold
6658,Austin,Scooter,3,191,49,1768,4.64,23208.33,24,18,1.0,1,0,27.41,Gold
6187,Austin,E-bike,9,18,22,1067,4.36,15258.14,26,14,0.875,2,0,30.68,Gold
5261,Chicago,Scooter,2,487,46,765,4.19,11239.67,27,10,0.7826,2,1,35.73,Standard
5447,Chicago,Car,8,630,44,1467,4.62,17579.81,27,13,0.7917,3,0,30.98,Gold
7273,Chicago,Car,11,422,63,252,3.91,9730.42,35,7,0.7143,4,5,32.21,Standard
5857,Denver,Bicycle,5,353,30,781,4.83,17073.44,32,19,0.9615,5,1,,Gold
6064,Denver,Bicycle,11,225,40,1020,3.92,11836.95,22,5,0.6923,5,1,35.95,Standard
6256,Austin,Car,8,129,52,1051,4.39,16112.86,26,13,0.7143,3,0,29.61,Gold
7410,Boston,Bicycle,8,302,43,1796,4.3,16262.87,36,4,0.8333,7,2,32.45,Standard
7240,Boston,Car,4,48,23,1312,4.11,14436.44,27,5,0.8182,5,3,35.02,Standard
6899,Seattle,Bicycle,2,360,41,707,3.47,7892.23,22,4,0.4667,5,1,38.61,Standard
5200,Boston,E-bike,5,333,43,1172,4.65,15997.19,34,17,1.0,2,0,,Gold
5911,Boston,Car,1,255,26,1555,4.05,14236.54,45,7,0.6842,5,1,37.14,Standard
5043,Chicago,Bicycle,8,647,19,524,4.85,15995.7,28,18,1.0,0,1,26.52,Gold
6316,Seattle,Scooter,6,309,32,1079,4.83,18234.18,34,23,0.8621,1,0,27.82,Gold
5720,Boston,E-bike,3,629,47,52,4.64,10329.59,33,16,0.9259,4,2,34.13,Gold
5953,Chicago,Walking,9,99,53,1069,3.8,9745.47,34,2,0.8333,6,3,35.57,Standard
6173,Boston,E-bike,5,630,30,1400,4.61,14631.6,26,7,0.8696,3,1,,Standard
6951,Boston,E-bike,6,532,54,1235,3.87,11088.21,28,0,0.5714,6,3,38.18,Standard
5092,Austin,Scooter,2,305,44,954,4.19,13717.78,32,5,0.7308,2,2,31.88,Standard
5983,Chicago,Scooter,1,128,54,164,4.53,12542.35,27,15,0.9565,4,0,28.97,Gold
